Name,Condition,variable,value,FA
1,RT,14:0_0:0,0.0215485829750479,14:0
2,RT,14:0_0:0,0.0171810364503702,14:0
3,RT,14:0_0:0,0.0351639871240732,14:0
4,RT,14:0_0:0,0.036801725558616,14:0
5,RT,14:0_0:0,0.0306758942775168,14:0
6,RT,14:0_0:0,0.0216320452487541,14:0
7,Cold,14:0_0:0,0.0452877137041391,14:0
8,Cold,14:0_0:0,0.0504111251696985,14:0
9,Cold,14:0_0:0,0.0522925958773079,14:0
10,Cold,14:0_0:0,0.0464457834681014,14:0
11,Cold,14:0_0:0,0.0314190113402766,14:0
12,Cold,14:0_0:0,0.0440014609666288,14:0
1,RT,15:0_0:0,0.0318967725393364,15:0
2,RT,15:0_0:0,0.0296280558774665,15:0
3,RT,15:0_0:0,0.0592955444290617,15:0
4,RT,15:0_0:0,0.0570258548144112,15:0
5,RT,15:0_0:0,0.0538502278644801,15:0
6,RT,15:0_0:0,0.0337832242918201,15:0
7,Cold,15:0_0:0,0.0760898658213658,15:0
8,Cold,15:0_0:0,0.0589837065145969,15:0
9,Cold,15:0_0:0,0.0673215702829909,15:0
10,Cold,15:0_0:0,0.0619241266814426,15:0
11,Cold,15:0_0:0,0.0699800447525761,15:0
12,Cold,15:0_0:0,0.0539357505432556,15:0
1,RT,16:0_0:0,5.2762778406999304,16:0
2,RT,16:0_0:0,3.48413101287208,16:0
3,RT,16:0_0:0,8.41868442657822,16:0
4,RT,16:0_0:0,9.37063820830936,16:0
5,RT,16:0_0:0,8.61868390164789,16:0
6,RT,16:0_0:0,5.06584887199609,16:0
7,Cold,16:0_0:0,8.23348550144215,16:0
8,Cold,16:0_0:0,8.42400285420988,16:0
9,Cold,16:0_0:0,6.48742444808529,16:0
10,Cold,16:0_0:0,8.98279156894441,16:0
11,Cold,16:0_0:0,6.30665478236845,16:0
12,Cold,16:0_0:0,5.61388982569695,16:0
1,RT,16:0_0:0_2,0.291659742796563,16:0
2,RT,16:0_0:0_2,0.358306270356241,16:0
3,RT,16:0_0:0_2,0.385512423379611,16:0
4,RT,16:0_0:0_2,0.461735266966926,16:0
5,RT,16:0_0:0_2,0.399029968917924,16:0
6,RT,16:0_0:0_2,0.34489224870831,16:0
7,Cold,16:0_0:0_2,0.474641187461826,16:0
8,Cold,16:0_0:0_2,0.42834580863439503,16:0
9,Cold,16:0_0:0_2,0.402957447720971,16:0
10,Cold,16:0_0:0_2,0.361886030170094,16:0
11,Cold,16:0_0:0_2,0.450232482842658,16:0
12,Cold,16:0_0:0_2,0.380778996352466,16:0
1,RT,16:1_0:0,0.0915566607187541,16:1
2,RT,16:1_0:0,0.0743851697770404,16:1
3,RT,16:1_0:0,0.199465447409932,16:1
4,RT,16:1_0:0,0.178055379213553,16:1
5,RT,16:1_0:0,0.109149537696501,16:1
6,RT,16:1_0:0,0.104602599422812,16:1
7,Cold,16:1_0:0,0.219542949227884,16:1
8,Cold,16:1_0:0,0.236768568383702,16:1
9,Cold,16:1_0:0,0.173674527335852,16:1
10,Cold,16:1_0:0,0.265289769461083,16:1
11,Cold,16:1_0:0,0.141076547758492,16:1
12,Cold,16:1_0:0,0.177098497595217,16:1
1,RT,17:0_0:0,0.101873034708995,17:0
2,RT,17:0_0:0,0.0785682871004972,17:0
3,RT,17:0_0:0,0.148504716090844,17:0
4,RT,17:0_0:0,0.129704582372625,17:0
5,RT,17:0_0:0,0.131496754835093,17:0
6,RT,17:0_0:0,0.114641732748438,17:0
7,Cold,17:0_0:0,0.130021114001275,17:0
8,Cold,17:0_0:0,0.131206649973956,17:0
9,Cold,17:0_0:0,0.158234443034679,17:0
10,Cold,17:0_0:0,0.121461863845653,17:0
11,Cold,17:0_0:0,0.112412026613127,17:0
12,Cold,17:0_0:0,0.112974763579756,17:0
1,RT,17:1_0:0,0.00664531702698565,17:1
2,RT,17:1_0:0,0.00652711876670944,17:1
3,RT,17:1_0:0,0.0144990189084238,17:1
4,RT,17:1_0:0,0.0152819910259074,17:1
5,RT,17:1_0:0,0.00964407960973344,17:1
6,RT,17:1_0:0,0.00967004824369657,17:1
7,Cold,17:1_0:0,0.0107580389599871,17:1
8,Cold,17:1_0:0,0.018178433092964,17:1
9,Cold,17:1_0:0,0.0168402904727536,17:1
10,Cold,17:1_0:0,0.0133580467773312,17:1
11,Cold,17:1_0:0,0,17:1
12,Cold,17:1_0:0,0.0167953674946895,17:1
1,RT,18:0_0:0,4.72194670570853,18:0
2,RT,18:0_0:0,4.44821192799642,18:0
3,RT,18:0_0:0,7.01202458938937,18:0
4,RT,18:0_0:0,6.95679792168599,18:0
5,RT,18:0_0:0,9.11275595017449,18:0
6,RT,18:0_0:0,5.14032119793452,18:0
7,Cold,18:0_0:0,7.93762682031186,18:0
8,Cold,18:0_0:0,7.42417743468368,18:0
9,Cold,18:0_0:0,7.36081641867195,18:0
10,Cold,18:0_0:0,7.58613962917557,18:0
11,Cold,18:0_0:0,6.4294808451194,18:0
12,Cold,18:0_0:0,6.76632758828457,18:0
1,RT,18:1_0:0,0.44557962138642304,18:1
2,RT,18:1_0:0,0.333649802575294,18:1
3,RT,18:1_0:0,0.687054270956813,18:1
4,RT,18:1_0:0,0.767048194516965,18:1
5,RT,18:1_0:0,0.608488828928742,18:1
6,RT,18:1_0:0,0.428371496407644,18:1
7,Cold,18:1_0:0,0.750797809518334,18:1
8,Cold,18:1_0:0,0.701310895649234,18:1
9,Cold,18:1_0:0,0.628735011936847,18:1
10,Cold,18:1_0:0,0.687817563715438,18:1
11,Cold,18:1_0:0,0.622430800122886,18:1
12,Cold,18:1_0:0,0.515116602778368,18:1
1,RT,18:2_0:0,1.61343165462378,18:2
2,RT,18:2_0:0,0.983712367293022,18:2
3,RT,18:2_0:0,2.21999481562162,18:2
4,RT,18:2_0:0,2.68138775672082,18:2
5,RT,18:2_0:0,1.84929571932892,18:2
6,RT,18:2_0:0,1.45921463283486,18:2
7,Cold,18:2_0:0,2.70296175220178,18:2
8,Cold,18:2_0:0,2.51722485218506,18:2
9,Cold,18:2_0:0,2.35098927603757,18:2
10,Cold,18:2_0:0,2.37671608961159,18:2
11,Cold,18:2_0:0,2.13820700358051,18:2
12,Cold,18:2_0:0,2.11787595675123,18:2
1,RT,18:2_0:0_2,0.460184458167783,18:2
2,RT,18:2_0:0_2,0.607673044026117,18:2
3,RT,18:2_0:0_2,0.694673523334408,18:2
4,RT,18:2_0:0_2,0.827441962400489,18:2
5,RT,18:2_0:0_2,0.737063101176903,18:2
6,RT,18:2_0:0_2,0.646833478079357,18:2
7,Cold,18:2_0:0_2,1.1586842407727,18:2
8,Cold,18:2_0:0_2,0.914895026478926,18:2
9,Cold,18:2_0:0_2,0.972468872074785,18:2
10,Cold,18:2_0:0_2,0.788083536854907,18:2
11,Cold,18:2_0:0_2,0.950389226592067,18:2
12,Cold,18:2_0:0_2,0.876977663874041,18:2
1,RT,18:3_0:0,0.0668071626368521,18:3
2,RT,18:3_0:0,0.0710806850354226,18:3
3,RT,18:3_0:0,0.139736077231567,18:3
4,RT,18:3_0:0,0.108365655609371,18:3
5,RT,18:3_0:0,0.112023916195247,18:3
6,RT,18:3_0:0,0.0868144653180204,18:3
7,Cold,18:3_0:0,0.149255639917299,18:3
8,Cold,18:3_0:0,0.149154364197895,18:3
9,Cold,18:3_0:0,0.113447773210654,18:3
10,Cold,18:3_0:0,0.154473363423835,18:3
11,Cold,18:3_0:0,0.117134312035721,18:3
12,Cold,18:3_0:0,0.105085726264687,18:3
1,RT,19:0_0:0,0.0817441421436758,19:0
