"Name","Formula","Mass (avg)","RSD (Mass, ppm)","Saturated","RT (avg)","RT (span)","Height (avg)","Found","Missed","Score (Tgt, max)","%RSD (Tgt)","Ions (min)","Ions (max)",[Mass] PB_neg_091622_032,[Mass] sample_1_neg_091622_015,[Mass] sample_10_neg_091622_026,[Mass] sample_11_neg_091622_027,[Mass] sample_12_neg_091622_028,[Mass] sample_13_neg_091622_029,[Mass] sample_2_neg_091622_016,[Mass] sample_3_neg_091622_017,[Mass] sample_4_neg_091622_018,[Mass] sample_5_neg_091622_019,[Mass] sample_6_neg_091622_020,[Mass] sample_7_neg_091622_023,[Mass] sample_8_neg_091622_024,[Mass] sample_9_neg_091622_025,[RT] PB_neg_091622_032,[RT] sample_1_neg_091622_015,[RT] sample_10_neg_091622_026,[RT] sample_11_neg_091622_027,[RT] sample_12_neg_091622_028,[RT] sample_13_neg_091622_029,[RT] sample_2_neg_091622_016,[RT] sample_3_neg_091622_017,[RT] sample_4_neg_091622_018,[RT] sample_5_neg_091622_019,[RT] sample_6_neg_091622_020,[RT] sample_7_neg_091622_023,[RT] sample_8_neg_091622_024,[RT] sample_9_neg_091622_025,[Height] PB_neg_091622_032,[Height] sample_1_neg_091622_015,[Height] sample_10_neg_091622_026,[Height] sample_11_neg_091622_027,[Height] sample_12_neg_091622_028,[Height] sample_13_neg_091622_029,[Height] sample_2_neg_091622_016,[Height] sample_3_neg_091622_017,[Height] sample_4_neg_091622_018,[Height] sample_5_neg_091622_019,[Height] sample_6_neg_091622_020,[Height] sample_7_neg_091622_023,[Height] sample_8_neg_091622_024,[Height] sample_9_neg_091622_025,[Score (MFE)] PB_neg_091622_032,[Score (MFE)] sample_1_neg_091622_015,[Score (MFE)] sample_10_neg_091622_026,[Score (MFE)] sample_11_neg_091622_027,[Score (MFE)] sample_12_neg_091622_028,[Score (MFE)] sample_13_neg_091622_029,[Score (MFE)] sample_2_neg_091622_016,[Score (MFE)] sample_3_neg_091622_017,[Score (MFE)] sample_4_neg_091622_018,[Score (MFE)] sample_5_neg_091622_019,[Score (MFE)] sample_6_neg_091622_020,[Score (MFE)] sample_7_neg_091622_023,[Score (MFE)] sample_8_neg_091622_024,[Score (MFE)] sample_9_neg_091622_025,[Score (Tgt)] PB_neg_091622_032,[Score (Tgt)] sample_1_neg_091622_015,[Score (Tgt)] sample_10_neg_091622_026,[Score (Tgt)] sample_11_neg_091622_027,[Score (Tgt)] sample_12_neg_091622_028,[Score (Tgt)] sample_13_neg_091622_029,[Score (Tgt)] sample_2_neg_091622_016,[Score (Tgt)] sample_3_neg_091622_017,[Score (Tgt)] sample_4_neg_091622_018,[Score (Tgt)] sample_5_neg_091622_019,[Score (Tgt)] sample_6_neg_091622_020,[Score (Tgt)] sample_7_neg_091622_023,[Score (Tgt)] sample_8_neg_091622_024,[Score (Tgt)] sample_9_neg_091622_025,[Ions] PB_neg_091622_032,[Ions] sample_1_neg_091622_015,[Ions] sample_10_neg_091622_026,[Ions] sample_11_neg_091622_027,[Ions] sample_12_neg_091622_028,[Ions] sample_13_neg_091622_029,[Ions] sample_2_neg_091622_016,[Ions] sample_3_neg_091622_017,[Ions] sample_4_neg_091622_018,[Ions] sample_5_neg_091622_019,[Ions] sample_6_neg_091622_020,[Ions] sample_7_neg_091622_023,[Ions] sample_8_neg_091622_024,[Ions] sample_9_neg_091622_025,
PG 16:1_18:1,C40 H75 O10 P,746.5101,0.34,0,7.08,0.015,6224068,13,1,94.0,8.4,7,10,,746.5100,746.5099,746.5100,746.5100,746.5108,746.5100,746.5099,746.5098,746.5101,746.5101,746.5101,746.5101,746.5099,,7.078,7.077,7.072,7.079,7.085,7.081,7.070,7.079,7.076,7.077,7.074,7.076,7.076,,6415359,7890687,4980657,6443477,1179960,9149126,4573516,6445566,6295176,9260431,5975606,7585941,4717387,,,,,,,,,,,,,,,,78.41,94.04,78.74,80.80,79.15,93.85,78.43,78.63,92.26,78.75,78.72,93.14,78.47,,9,10,8,9,8,10,7,8,10,8,9,10,10,
PI 38:5,C47 H81 O13 P,884.5421,0.18,0,7.12,0.012,5125927,13,1,96.7,1.1,6,11,,884.5421,884.5421,884.5421,884.5419,884.5417,884.5423,884.5420,884.5419,884.5421,884.5422,884.5421,884.5422,884.5420,,7.117,7.122,7.117,7.115,7.113,7.125,7.115,7.119,7.115,7.121,7.119,7.121,7.115,,5620423,5291160,4916743,4224676,993382,6877364,4902772,4355644,6004876,7125450,6813273,5256104,4255193,,,,,,,,,,,,,,,,95.81,95.03,96.75,95.97,96.27,93.26,96.64,95.99,95.66,93.90,95.80,94.95,96.58,,7,11,10,6,11,9,10,9,8,10,10,10,10,
PG 18:1_18:1,C42 H79 O10 P,774.5412,0.07,0,7.18,0.009,3412545,12,2,99.1,0.5,6,10,,774.5412,774.5411,774.5412,774.5412,,774.5412,774.5412,774.5411,774.5413,774.5412,774.5412,774.5412,774.5411,,7.184,7.183,7.178,7.179,,7.185,7.181,7.180,7.183,7.183,7.186,7.183,7.176,,3623734,3832583,3382934,2754038,,4267740,2543724,2069575,3716894,4564460,3926405,3542694,2725769,,,,,,,,,,,,,,,,97.92,98.82,98.29,97.48,,99.13,98.74,98.58,98.87,98.91,99.14,97.86,98.24,,6,9,10,7,,10,10,9,9,8,10,8,10,
PI 18:0_20:4,C47 H83 O13 P,886.5575,0.10,0,7.75,0.056,3908269,13,1,99.5,0.8,8,13,,886.5575,886.5575,886.5575,886.5575,886.5572,886.5576,886.5575,886.5576,886.5574,886.5576,886.5575,886.5575,886.5575,,7.742,7.736,7.748,7.750,7.784,7.728,7.751,7.755,7.735,7.730,7.733,7.747,7.751,,4327040,4058760,4023484,3524792,1800174,4656596,3954632,3655046,4262653,4206261,4600175,4066695,3671191,,,,,,,,,,,,,,,,99.15,99.15,99.54,99.49,96.67,98.48,99.39,99.40,98.82,98.79,98.74,99.35,99.35,,11,11,10,12,11,8,11,11,13,8,11,8,11,
PG 18:0_22:6,C46 H79 O10 P,822.5413,0.14,0,7.11,0.011,3638042,13,1,76.8,0.6,5,8,,822.5414,822.5413,822.5413,822.5413,822.5410,822.5413,822.5413,822.5412,822.5414,822.5412,822.5414,822.5414,822.5413,,7.117,7.116,7.111,7.112,7.113,7.120,7.109,7.119,7.115,7.116,7.113,7.116,7.110,,3546981,4526879,3394646,4101996,823287,4758381,2801529,3738751,3606098,4663645,3618564,4382233,3331556,,,,,,,,,,,,,,,,75.24,76.79,75.61,75.68,75.62,74.93,75.84,75.19,75.31,75.23,75.44,75.30,75.89,,5,7,6,5,5,8,6,5,6,6,6,8,7,
PC 16:0_18:1,C42 H82 N O8 P,759.5779,0.07,0,8.47,0.056,4233623,13,1,99.9,1.2,8,13,,759.5779,759.5780,759.5779,759.5780,759.5779,759.5779,759.5779,759.5779,759.5780,759.5779,759.5780,759.5779,759.5780,,8.467,8.467,8.479,8.470,8.499,8.470,8.481,8.502,8.467,8.467,8.474,8.522,8.481,,4488352,4330090,4248339,4164243,2935465,4569669,4231672,4147298,4412944,4559858,4440211,4310809,4198157,,,,,,,,,,,,,,,,96.61,96.58,98.42,97.18,99.81,97.17,98.68,99.89,96.61,96.70,97.74,99.03,98.57,,13,11,11,10,11,10,12,10,11,12,10,8,12,
PG 16:0_16:1,C38 H73 O10 P,720.4947,0.22,0,7.04,0.012,2608834,13,1,97.1,1.2,7,11,,720.4948,720.4948,720.4947,720.4946,720.4943,720.4950,720.4946,720.4946,720.4948,720.4948,720.4948,720.4947,720.4946,,7.046,7.044,7.044,7.040,7.046,7.048,7.042,7.043,7.036,7.046,7.042,7.043,7.043,,2672744,3288108,2095752,2710231,539114,3734987,1982437,2826521,2677516,3645676,2623220,3115945,2002594,,,,,,,,,,,,,,,,94.48,94.53,95.21,96.19,93.89,92.66,95.19,97.08,94.20,93.45,95.17,94.69,95.74,,9,11,8,11,7,8,9,9,9,9,11,9,10,
PC 18:1_18:1,C44 H84 N O8 P,785.5936,0.44,0,8.57,0.070,2378179,14,0,99.8,8.4,4,14,785.5924,785.5937,785.5937,785.5936,785.5936,785.5934,785.5936,785.5936,785.5936,785.5937,785.5936,785.5937,785.5937,785.5937,8.508,8.578,8.573,8.574,8.570,8.537,8.576,8.576,8.564,8.573,8.578,8.575,8.573,8.570,1142,2853749,2585028,2571398,2412371,1771188,2749809,2589701,2333573,2768087,2800873,2806770,2580444,2470385,,,,,,,,,,,,,,,67.99,96.93,97.75,97.56,98.08,99.83,97.33,97.28,98.85,97.76,96.92,97.51,97.78,98.10,4,12,11,12,10,9,12,7,11,13,11,14,10,11,
PE 18:1_18:1,C41 H78 N O8 P,743.5465,0.57,0,8.81,0.025,3388514,14,0,99.8,0.8,4,15,743.5451,743.5466,743.5467,743.5466,743.5466,743.5464,743.5467,743.5466,743.5465,743.5466,743.5467,743.5467,743.5466,743.5465,8.793,8.812,8.818,8.809,8.810,8.800,8.815,8.813,8.809,8.806,8.818,8.814,8.815,8.809,2250,4128442,3763960,3718546,3330870,2077560,4195285,3608450,3376857,3922062,4245820,4094089,3588587,3386423,,,,,,,,,,,,,,,96.49,99.55,99.10,99.71,99.60,99.75,99.32,99.46,99.68,99.77,99.14,99.39,99.40,99.65,4,12,12,15,14,14,12,13,13,13,13,13,13,13,
PC 18:0_18:1,C44 H86 N O8 P,787.6092,0.12,0,9.43,0.029,2333799,13,1,99.9,0.2,9,11,,787.6093,787.6091,787.6092,787.6091,787.6090,787.6092,787.6092,787.6091,787.6092,787.6093,787.6092,787.6093,787.6092,,9.436,9.425,9.422,9.429,9.414,9.422,9.434,9.422,9.442,9.437,9.429,9.425,9.439,,2718091,2293845,2372552,2127278,1479847,2569460,2386609,2072065,2546219,2571974,2699762,2301513,2200182,,,,,,,,,,,,,,,,99.81,99.83,99.72,99.89,99.07,99.72,99.87,99.69,99.53,99.77,99.85,99.80,99.74,,10,10,11,11,10,10,11,10,11,9,11,11,9,
