"Name","Formula","Mass (avg)","RSD (Mass, ppm)","Saturated","RT (avg)","RT (span)","Height (avg)","Found","Missed","Score (Tgt, max)","%RSD (Tgt)","Ions (min)","Ions (max)",[Mass] IS_4X_pos_091622_032,[Mass] sample_1_4X_pos_091622_015,[Mass] sample_10_4X_pos_091622_026,[Mass] sample_11_4X_pos_091622_027,[Mass] sample_12_4X_pos_091622_028,[Mass] sample_13_4X_pos_091622_029,[Mass] sample_2_4X_pos_091622_016,[Mass] sample_3_4X_pos_091622_017,[Mass] sample_4_4X_pos_091622_018,[Mass] sample_5_4X_pos_091622_019,[Mass] sample_6_4X_pos_091622_020,[Mass] sample_7_4X_pos_091622_023,[Mass] sample_8_4X_pos_091622_024,[Mass] sample_9_4X_pos_091622_025,[RT] IS_4X_pos_091622_032,[RT] sample_1_4X_pos_091622_015,[RT] sample_10_4X_pos_091622_026,[RT] sample_11_4X_pos_091622_027,[RT] sample_12_4X_pos_091622_028,[RT] sample_13_4X_pos_091622_029,[RT] sample_2_4X_pos_091622_016,[RT] sample_3_4X_pos_091622_017,[RT] sample_4_4X_pos_091622_018,[RT] sample_5_4X_pos_091622_019,[RT] sample_6_4X_pos_091622_020,[RT] sample_7_4X_pos_091622_023,[RT] sample_8_4X_pos_091622_024,[RT] sample_9_4X_pos_091622_025,[Height] IS_4X_pos_091622_032,[Height] sample_1_4X_pos_091622_015,[Height] sample_10_4X_pos_091622_026,[Height] sample_11_4X_pos_091622_027,[Height] sample_12_4X_pos_091622_028,[Height] sample_13_4X_pos_091622_029,[Height] sample_2_4X_pos_091622_016,[Height] sample_3_4X_pos_091622_017,[Height] sample_4_4X_pos_091622_018,[Height] sample_5_4X_pos_091622_019,[Height] sample_6_4X_pos_091622_020,[Height] sample_7_4X_pos_091622_023,[Height] sample_8_4X_pos_091622_024,[Height] sample_9_4X_pos_091622_025,[Score (MFE)] IS_4X_pos_091622_032,[Score (MFE)] sample_1_4X_pos_091622_015,[Score (MFE)] sample_10_4X_pos_091622_026,[Score (MFE)] sample_11_4X_pos_091622_027,[Score (MFE)] sample_12_4X_pos_091622_028,[Score (MFE)] sample_13_4X_pos_091622_029,[Score (MFE)] sample_2_4X_pos_091622_016,[Score (MFE)] sample_3_4X_pos_091622_017,[Score (MFE)] sample_4_4X_pos_091622_018,[Score (MFE)] sample_5_4X_pos_091622_019,[Score (MFE)] sample_6_4X_pos_091622_020,[Score (MFE)] sample_7_4X_pos_091622_023,[Score (MFE)] sample_8_4X_pos_091622_024,[Score (MFE)] sample_9_4X_pos_091622_025,[Score (Tgt)] IS_4X_pos_091622_032,[Score (Tgt)] sample_1_4X_pos_091622_015,[Score (Tgt)] sample_10_4X_pos_091622_026,[Score (Tgt)] sample_11_4X_pos_091622_027,[Score (Tgt)] sample_12_4X_pos_091622_028,[Score (Tgt)] sample_13_4X_pos_091622_029,[Score (Tgt)] sample_2_4X_pos_091622_016,[Score (Tgt)] sample_3_4X_pos_091622_017,[Score (Tgt)] sample_4_4X_pos_091622_018,[Score (Tgt)] sample_5_4X_pos_091622_019,[Score (Tgt)] sample_6_4X_pos_091622_020,[Score (Tgt)] sample_7_4X_pos_091622_023,[Score (Tgt)] sample_8_4X_pos_091622_024,[Score (Tgt)] sample_9_4X_pos_091622_025,[Ions] IS_4X_pos_091622_032,[Ions] sample_1_4X_pos_091622_015,[Ions] sample_10_4X_pos_091622_026,[Ions] sample_11_4X_pos_091622_027,[Ions] sample_12_4X_pos_091622_028,[Ions] sample_13_4X_pos_091622_029,[Ions] sample_2_4X_pos_091622_016,[Ions] sample_3_4X_pos_091622_017,[Ions] sample_4_4X_pos_091622_018,[Ions] sample_5_4X_pos_091622_019,[Ions] sample_6_4X_pos_091622_020,[Ions] sample_7_4X_pos_091622_023,[Ions] sample_8_4X_pos_091622_024,[Ions] sample_9_4X_pos_091622_025,
PC 18:1_18:1,C44 H84 N O8 P,785.5937,0.94,0,8.50,0.052,15576212,13,1,99.8,1.8,11,16,,785.5935,785.5930,785.5934,785.5934,785.5932,785.5960,785.5936,785.5937,785.5938,785.5933,785.5940,785.5937,785.5933,,8.508,8.504,8.518,8.512,8.495,8.544,8.493,8.498,8.513,8.504,8.505,8.520,8.492,,16916379,16210421,15574134,15150374,9252741,17076892,15911978,14909725,16687831,17034653,16769230,16086386,14910019,,,,,,,,,,,,,,,,99.67,99.37,99.83,99.81,98.77,93.10,98.62,99.04,99.76,99.48,99.26,99.81,98.41,,14,14,13,13,15,11,14,13,15,14,14,16,13,
PC 16:0_18:1,C42 H82 N O8 P,759.5779,0.35,0,8.47,0.056,18466568,13,1,99.4,3.2,12,17,,759.5776,759.5777,759.5777,759.5778,759.5777,759.5777,759.5777,759.5780,759.5781,759.5784,759.5782,759.5781,759.5777,,8.469,8.471,8.452,8.445,8.456,8.494,8.488,8.470,8.446,8.459,8.438,8.475,8.470,,19029164,18777260,18578841,18547432,14433741,19191227,18584862,18513964,18965063,19119229,19028337,18850142,18446126,,,,,,,,,,,,,,,,96.24,96.50,92.77,91.38,93.80,99.35,98.82,96.39,91.53,94.08,89.39,97.12,96.42,,13,12,15,14,16,13,14,15,13,17,13,16,13,
PC 16:1_18:1,C42 H80 N O8 P,757.5622,0.29,0,7.60,0.026,11660751,13,1,99.8,0.6,11,17,,757.5622,757.5619,757.5619,757.5619,757.5619,757.5622,757.5622,757.5623,757.5624,757.5622,757.5625,757.5625,757.5621,,7.594,7.589,7.597,7.586,7.592,7.612,7.595,7.600,7.592,7.599,7.611,7.599,7.594,,12725819,13002552,10386626,11529341,4688402,15186849,10571105,11446698,12187767,14865443,12311781,12750788,9936594,,,,,,,,,,,,,,,,98.68,98.08,99.02,97.69,98.44,99.82,98.87,99.25,98.43,99.23,99.74,99.05,98.69,,14,14,12,13,13,12,17,14,14,14,11,12,15,
PC 16:0_16:1,C40 H78 N O8 P,731.5465,0.29,0,7.54,0.038,9344221,13,1,99.9,0.4,13,17,,731.5466,731.5464,731.5464,731.5463,731.5462,731.5467,731.5467,731.5466,731.5466,731.5468,731.5468,731.5468,731.5462,,7.533,7.550,7.519,7.547,7.547,7.545,7.512,7.550,7.514,7.549,7.539,7.543,7.532,,10197896,10426826,8276335,9093359,4011865,12286722,8386960,9239552,9728507,12020607,9765378,10058287,7982591,,,,,,,,,,,,,,,,99.90,99.47,99.23,99.57,99.56,99.69,98.43,99.46,98.72,99.45,99.84,99.75,99.74,,16,16,14,15,13,16,15,15,16,15,16,17,14,
SM d34:1,C39 H79 N2 O6 P,702.5672,0.24,0,7.47,0.048,7514264,13,1,99.3,0.8,13,17,,702.5672,702.5670,702.5672,702.5670,702.5670,702.5672,702.5673,702.5672,702.5674,702.5673,702.5675,702.5672,702.5670,,7.471,7.466,7.475,7.469,7.514,7.472,7.484,7.472,7.469,7.465,7.466,7.471,7.476,,8487571,7834667,7281804,6947086,3170446,9553484,7231886,6919388,8217998,9375862,8455571,7561336,6648343,,,,,,,,,,,,,,,,97.86,97.10,98.36,97.45,99.32,98.07,99.24,97.90,97.66,97.02,97.08,97.84,98.50,,13,15,14,15,15,14,13,14,15,14,14,14,17,
PC 15:0_18:1(d7),C41 H73 D7 N O8 P,752.6060,0.40,0,7.97,0.044,7154934,13,1,99.8,1.0,11,16,,752.6060,752.6057,752.6060,752.6058,752.6062,752.6060,752.6062,752.6063,752.6060,752.6062,752.6062,752.6064,752.6053,,7.984,7.957,7.977,7.976,7.982,7.941,7.969,7.951,7.949,7.940,7.969,7.945,7.979,,7176579,6672864,7139802,7032438,6798128,8467237,6794045,7486249,7017045,7631293,6904967,6696753,7196743,,,,,,,,,,,,,,,,99.37,99.04,99.76,99.78,99.61,97.19,99.64,98.47,98.37,97.00,99.60,97.50,99.26,,14,12,13,12,13,14,11,14,16,11,14,13,14,
PC 18:0_18:1,C44 H86 N O8 P,787.6100,1.62,0,9.44,0.080,8766867,12,2,99.8,4.8,10,17,,787.6103,787.6087,,787.6085,787.6089,787.6096,787.6109,787.6130,787.6095,787.6110,787.6092,787.6107,787.6097,,9.417,9.464,,9.443,9.387,9.464,9.453,9.446,9.467,9.435,9.448,9.401,9.424,,12009099,7679229,,7533526,3816777,10355108,8265719,7307678,8738432,11499672,10665100,9558766,7773299,,,,,,,,,,,,,,,,92.80,99.69,,97.60,86.53,99.26,98.45,89.58,99.79,96.57,98.53,89.46,94.62,,11,17,,13,16,13,13,17,12,11,13,10,10,
SM d42:2,C47 H93 N2 O6 P,812.6767,0.27,0,10.23,0.079,3844407,13,1,99.9,1.5,17,20,,812.6769,812.6764,812.6770,812.6767,812.6763,812.6766,812.6769,812.6768,812.6770,812.6767,812.6770,812.6768,812.6765,,10.226,10.207,10.252,10.281,10.285,10.256,10.279,10.216,10.214,10.210,10.268,10.215,10.222,,4708464,4146578,3634800,3335783,1168250,5194695,3615431,3227414,4495550,5125355,4167188,3816730,3341060,,,,,,,,,,,,,,,,98.20,95.03,99.86,97.87,97.26,99.84,98.14,96.85,96.43,95.86,99.27,96.65,97.59,,18,19,17,17,20,18,20,18,17,19,19,19,20,
PE 18:1_18:1,C41 H78 N O8 P,743.5485,0.39,0,8.70,0.021,3118108,13,1,96.5,1.5,13,15,,743.5485,743.5483,743.5485,743.5484,743.5479,743.5483,743.5487,743.5487,743.5485,743.5489,743.5491,743.5486,743.5485,,8.698,8.694,8.714,8.707,8.701,8.700,8.694,8.704,8.714,8.710,8.706,8.693,8.699,,3809796,3419837,1803107,2889555,1259631,4183463,2881232,2998400,3374552,4124466,3799078,3225624,2766663,,,,,,,,,,,,,,,,93.45,92.67,96.51,95.33,94.06,93.96,92.69,94.77,96.50,95.78,94.76,92.28,93.68,,14,13,13,13,14,13,14,14,14,15,14,14,15,
PC 18:1_18:2,C44 H82 N O8 P,783.5777,0.32,0,7.78,0.022,2430944,13,1,99.8,0.3,9,15,,783.5777,783.5774,783.5775,783.5776,783.5773,783.5779,783.5778,783.5777,783.5778,783.5778,783.5779,783.5780,783.5772,,7.778,7.790,7.782,7.776,7.798,7.779,7.785,7.778,7.782,7.789,7.779,7.789,7.778,,2974362,2645419,2021374,2151221,767894,3473760,2229127,2192965,2802622,3383293,2685210,2415758,1859268,,,,,,,,,,,,,,,,99.16,99.70,99.41,98.96,99.75,99.24,99.66,99.22,99.44,99.78,99.19,99.75,98.90,,14,15,11,14,14,11,12,9,12,11,12,11,10,
