Name,Condition,variable,value,FA
1,pLV_NT,18:0_16:0,1.7957186209348677,18:0
2,pLV_HNF4a,18:0_16:0,1.8270428582635565,18:0
3,PPARa_NT,18:0_16:0,1.9205140062314423,18:0
4,PPARa_HNF4a,18:0_16:0,1.7574761881773695,18:0
5,pLV_NT,18:0_16:0,1.721452254611857,18:0
6,pLV_HNF4a,18:0_16:0,1.5502758831364818,18:0
7,PPARa_NT,18:0_16:0,1.8579501901268227,18:0
8,PPARa_HNF4a,18:0_16:0,1.6299116315691211,18:0
9,pLV_NT,18:0_16:0,1.8802027054206965,18:0
10,pLV_HNF4a,18:0_16:0,1.7171782041081158,18:0
11,PPARa_NT,18:0_16:0,1.7990222983474145,18:0
12,PPARa_HNF4a,18:0_16:0,1.6139003530623404,18:0
1,pLV_NT,18:0_18:0,0.07203037683147176,18:0
2,pLV_HNF4a,18:0_18:0,0,18:0
3,PPARa_NT,18:0_18:0,0.12257057673321928,18:0
4,PPARa_HNF4a,18:0_18:0,0.07784320945463744,18:0
5,pLV_NT,18:0_18:0,0.07077219485357988,18:0
6,pLV_HNF4a,18:0_18:0,0.10920120506651897,18:0
7,PPARa_NT,18:0_18:0,0.09584416897620104,18:0
8,PPARa_HNF4a,18:0_18:0,0.06331050244546313,18:0
9,pLV_NT,18:0_18:0,0.090533398249084407,18:0
10,pLV_HNF4a,18:0_18:0,0.11255622175527134,18:0
11,PPARa_NT,18:0_18:0,0.06917867339182034,18:0
12,PPARa_HNF4a,18:0_18:0,0.07021735722794549,18:0
1,pLV_NT,17:1_16:0,0.35204349229028015,17:1
2,pLV_HNF4a,17:1_16:0,0.4601731681636531,17:1
3,PPARa_NT,17:1_16:0,0.34697118575490415,17:1
4,PPARa_HNF4a,17:1_16:0,0.4499854515474957,17:1
5,pLV_NT,17:1_16:0,0.3909500452746545,17:1
6,pLV_HNF4a,17:1_16:0,0.4235362707346059,17:1
7,PPARa_NT,17:1_16:0,0.3715607726302574,17:1
8,PPARa_HNF4a,17:1_16:0,0.4119431104065796,17:1
9,pLV_NT,17:1_16:0,0.3743553823382523,17:1
10,pLV_HNF4a,17:1_16:0,0.3801045503885152,17:1
11,PPARa_NT,17:1_16:0,0.3822536174074168,17:1
12,PPARa_HNF4a,17:1_16:0,0.3734486518609902,17:1
1,pLV_NT,18:1_14:0,0.6239316343035497,18:1
2,pLV_HNF4a,18:1_14:0,0.7057738144402379,18:1
3,PPARa_NT,18:1_14:0,0.5996030989625547,18:1
4,PPARa_HNF4a,18:1_14:0,0.6431758698699714,18:1
5,pLV_NT,18:1_14:0,0.6149334101622272,18:1
6,pLV_HNF4a,18:1_14:0,0.6629956158143311,18:1
7,PPARa_NT,18:1_14:0,0.5727969457363955,18:1
8,PPARa_HNF4a,18:1_14:0,0.5761758599713512,18:1
9,pLV_NT,18:1_14:0,0.6780130891654648,18:1
10,pLV_HNF4a,18:1_14:0,0.5758254582478297,18:1
11,PPARa_NT,18:1_14:0,0.5477586952252659,18:1
12,PPARa_HNF4a,18:1_14:0,0.5221980977152868,18:1
1,pLV_NT,18:1_16:0,5.156904064305106,18:1
2,pLV_HNF4a,18:1_16:0,5.280845952377473,18:1
3,PPARa_NT,18:1_16:0,5.194600243119529,18:1
4,PPARa_HNF4a,18:1_16:0,5.313455730093632,18:1
5,pLV_NT,18:1_16:0,5.065923009174822,18:1
6,pLV_HNF4a,18:1_16:0,4.668965801294216,18:1
7,PPARa_NT,18:1_16:0,5.234207369289041,18:1
8,PPARa_HNF4a,18:1_16:0,4.584748557536504,18:1
9,pLV_NT,18:1_16:0,5.2261424450243394,18:1
10,pLV_HNF4a,18:1_16:0,5.4703140204607745,18:1
11,PPARa_NT,18:1_16:0,4.483633349453353,18:1
12,PPARa_HNF4a,18:1_16:0,4.680717603257537,18:1
1,pLV_NT,18:1_16:0,0.19814986260038847,18:1
2,pLV_HNF4a,18:1_16:0,0.3510546636705575,18:1
3,PPARa_NT,18:1_16:0,0.2856959656137531,18:1
4,PPARa_HNF4a,18:1_16:0,0.29015045238072945,18:1
5,pLV_NT,18:1_16:0,0.26933326906123073,18:1
6,pLV_HNF4a,18:1_16:0,0.2979839238212252,18:1
7,PPARa_NT,18:1_16:0,0,18:1
