Name,Condition,variable,value,FA
1,pLV_NT,16:0,30.696537775868848,16:0
2,pLV_HNF4a,16:0,39.75769362523935,16:0
3,PPARa_NT,16:0,42.188121468219926,16:0
4,PPARa_HNF4a,16:0,42.43842208817478,16:0
5,pLV_NT,16:0,41.38791411381703,16:0
6,pLV_HNF4a,16:0,30.69181507509964,16:0
7,PPARa_NT,16:0,39.73705648577813,16:0
8,PPARa_HNF4a,16:0,34.05434530882449,16:0
9,pLV_NT,16:0,48.24886155496639,16:0
10,pLV_HNF4a,16:0,37.27911838823542,16:0
11,PPARa_NT,16:0,36.645353323362976,16:0
12,PPARa_HNF4a,16:0,38.573901072045714,16:0
1,pLV_NT,16:0,1.622558399555362,16:0
2,pLV_HNF4a,16:0,4.949812190314957,16:0
3,PPARa_NT,16:0,5.125162958621104,16:0
4,PPARa_HNF4a,16:0,5.178720401583589,16:0
5,pLV_NT,16:0,5.226558990272701,16:0
6,pLV_HNF4a,16:0,4.160698108846938,16:0
7,PPARa_NT,16:0,4.993053727814103,16:0
8,PPARa_HNF4a,16:0,3.697316551497103,16:0
9,pLV_NT,16:0,5.903611817165289,16:0
10,pLV_HNF4a,16:0,4.933470594962936,16:0
11,PPARa_NT,16:0,4.022329773683493,16:0
12,PPARa_HNF4a,16:0,3.9057483439292833,16:0
1,pLV_NT,18:0,14.888156347872672,18:0
2,pLV_HNF4a,18:0,19.6962769949684,18:0
3,PPARa_NT,18:0,20.083117088064135,18:0
4,PPARa_HNF4a,18:0,19.86303181131103,18:0
5,pLV_NT,18:0,20.02117401533584,18:0
6,pLV_HNF4a,18:0,14.296964727242628,18:0
7,PPARa_NT,18:0,20.165673949730003,18:0
8,PPARa_HNF4a,18:0,17.45351340532922,18:0
9,pLV_NT,18:0,24.25134026597859,18:0
10,pLV_HNF4a,18:0,17.815966373109717,18:0
11,PPARa_NT,18:0,18.239449981607457,18:0
12,PPARa_HNF4a,18:0,19.02602990653652,18:0
1,pLV_NT,18:0,2.847297240939959,18:0
2,pLV_HNF4a,18:0,5.02929078486936,18:0
3,PPARa_NT,18:0,6.27566512191306,18:0
4,PPARa_HNF4a,18:0,5.119688544944985,18:0
5,pLV_NT,18:0,6.322549524741367,18:0
6,pLV_HNF4a,18:0,4.147233704093613,18:0
7,PPARa_NT,18:0,5.583992298541498,18:0
8,PPARa_HNF4a,18:0,3.7089592923536543,18:0
9,pLV_NT,18:0,5.775754125649282,18:0
10,pLV_HNF4a,18:0,4.8098305926731735,18:0
11,PPARa_NT,18:0,4.158887284581258,18:0
12,PPARa_HNF4a,18:0,3.8184545844244906,18:0
