Name,Condition,variable,value,FA
1,pLV_NT,14:0_0:0,0.6026779159989579,14:0
2,pLV_HNF4a,14:0_0:0,1.044450668918825,14:0
3,PPARa_NT,14:0_0:0,0.668987251948892,14:0
4,PPARa_HNF4a,14:0_0:0,0.7157841068888385,14:0
5,pLV_NT,14:0_0:0,1.062092959946906,14:0
6,pLV_HNF4a,14:0_0:0,0.8386682160741705,14:0
7,PPARa_NT,14:0_0:0,0.929324245908457,14:0
8,PPARa_HNF4a,14:0_0:0,0.8047671452319997,14:0
9,pLV_NT,14:0_0:0,0.7605586333739012,14:0
10,pLV_HNF4a,14:0_0:0,0.8189027489786863,14:0
11,PPARa_NT,14:0_0:0,0.6235310757957856,14:0
12,PPARa_HNF4a,14:0_0:0,0.8020166363689163,14:0
1,pLV_NT,16:0_0:0,14.05348386090417,16:0
2,pLV_HNF4a,16:0_0:0,16.829791491570447,16:0
3,PPARa_NT,16:0_0:0,11.92312678199888,16:0
4,PPARa_HNF4a,16:0_0:0,11.511394805693955,16:0
5,pLV_NT,16:0_0:0,14.717227979932414,16:0
6,pLV_HNF4a,16:0_0:0,13.40095785092625,16:0
7,PPARa_NT,16:0_0:0,12.939878277452696,16:0
8,PPARa_HNF4a,16:0_0:0,13.191374656380964,16:0
9,pLV_NT,16:0_0:0,14.083210316328618,16:0
10,pLV_HNF4a,16:0_0:0,14.382914510969885,16:0
11,PPARa_NT,16:0_0:0,10.152355149499003,16:0
12,PPARa_HNF4a,16:0_0:0,12.365808427764131,16:0
1,pLV_NT,16:0_0:0,3.009512978117453,16:0
2,pLV_HNF4a,16:0_0:0,4.399912695928035,16:0
3,PPARa_NT,16:0_0:0,4.032366531002444,16:0
4,PPARa_HNF4a,16:0_0:0,3.6872979059200217,16:0
5,pLV_NT,16:0_0:0,4.322406377548061,16:0
6,pLV_HNF4a,16:0_0:0,3.624026639386365,16:0
7,PPARa_NT,16:0_0:0,3.7450417590821634,16:0
8,PPARa_HNF4a,16:0_0:0,3.5817847383820944,16:0
