Name,Condition,variable,value,FA
1,pLV_NT,14:0_16:0_16:0,0.28279651515043697,14:0
2,pLV_HNF4a,14:0_16:0_16:0,0.3602613967751576,14:0
3,PPARa_NT,14:0_16:0_16:0,0.36418711389313374,14:0
4,PPARa_HNF4a,14:0_16:0_16:0,0.29200277653707596,14:0
5,pLV_NT,14:0_16:0_16:0,0.3522332026644914,14:0
6,pLV_HNF4a,14:0_16:0_16:0,0.3066853124403377,14:0
7,PPARa_NT,14:0_16:0_16:0,0.3206442200155126,14:0
8,PPARa_HNF4a,14:0_16:0_16:0,0.2827593794455125,14:0
9,pLV_NT,14:0_16:0_16:0,0.3202086360217193,14:0
10,pLV_HNF4a,14:0_16:0_16:0,0.3256850351023608,14:0
11,PPARa_NT,14:0_16:0_16:0,0.2809052886979222,14:0
12,PPARa_HNF4a,14:0_16:0_16:0,0.2905986588693024,14:0
1,pLV_NT,14:0_16:0_16:1,0.19756917551736736,14:0
2,pLV_HNF4a,14:0_16:0_16:1,0.3061835970116693,14:0
3,PPARa_NT,14:0_16:0_16:1,0.2701304855113194,14:0
4,PPARa_HNF4a,14:0_16:0_16:1,0.2454361658210316,14:0
5,pLV_NT,14:0_16:0_16:1,0.24880874515317591,14:0
6,pLV_HNF4a,14:0_16:0_16:1,0.3093093427243754,14:0
7,PPARa_NT,14:0_16:0_16:1,0.299826430682043,14:0
8,PPARa_HNF4a,14:0_16:0_16:1,0.23436054956118876,14:0
9,pLV_NT,14:0_16:0_16:1,0.2595245354214174,14:0
10,pLV_HNF4a,14:0_16:0_16:1,0.25524749704932626,14:0
11,PPARa_NT,14:0_16:0_16:1,0.2070750818047359,14:0
12,PPARa_HNF4a,14:0_16:0_16:1,0.21354604556933143,14:0
1,pLV_NT,14:0_16:0_18:1,0.9719046986042872,14:0
2,pLV_HNF4a,14:0_16:0_18:1,1.3983218956287466,14:0
3,PPARa_NT,14:0_16:0_18:1,1.337129365644171,14:0
4,PPARa_HNF4a,14:0_16:0_18:1,1.2598849850813107,14:0
5,pLV_NT,14:0_16:0_18:1,1.3199935945642656,14:0
6,pLV_HNF4a,14:0_16:0_18:1,1.2706689351108895,14:0
7,PPARa_NT,14:0_16:0_18:1,1.3824101176825565,14:0
8,PPARa_HNF4a,14:0_16:0_18:1,1.1728190554796698,14:0
9,pLV_NT,14:0_16:0_18:1,1.1999365951098968,14:0
10,pLV_HNF4a,14:0_16:0_18:1,1.1758801344726568,14:0
11,PPARa_NT,14:0_16:0_18:1,1.213394731986581,14:0
12,PPARa_HNF4a,14:0_16:0_18:1,1.0580044325421485,14:0
1,pLV_NT,15:0_15:0_15:0,0.05598252219053695,15:0
2,pLV_HNF4a,15:0_15:0_15:0,0.08940073938064788,15:0
3,PPARa_NT,15:0_15:0_15:0,0.08134627319508264,15:0
4,PPARa_HNF4a,15:0_15:0_15:0,0.06736513645087834,15:0
5,pLV_NT,15:0_15:0_15:0,0.06804656151889524,15:0
6,pLV_HNF4a,15:0_15:0_15:0,0.07249415557684609,15:0
7,PPARa_NT,15:0_15:0_15:0,0.06529329982497467,15:0
8,PPARa_HNF4a,15:0_15:0_15:0,0.08065718826888235,15:0
9,pLV_NT,15:0_15:0_15:0,0.08769618535208425,15:0
10,pLV_HNF4a,15:0_15:0_15:0,0.0782324366303321,15:0
11,PPARa_NT,15:0_15:0_15:0,0.07538500005113168,15:0
12,PPARa_HNF4a,15:0_15:0_15:0,0.07740922579446959,15:0
1,pLV_NT,15:0_16:0_16:0,0.10721167464809536,15:0
2,pLV_HNF4a,15:0_16:0_16:0,0.1183777272336176,15:0
3,PPARa_NT,15:0_16:0_16:0,0.1204695969668812,15:0
4,PPARa_HNF4a,15:0_16:0_16:0,0.1344396554019686,15:0
5,pLV_NT,15:0_16:0_16:0,0.09702535487702756,15:0
6,pLV_HNF4a,15:0_16:0_16:0,0.10492575149280356,15:0
7,PPARa_NT,15:0_16:0_16:0,0.11450203002408953,15:0
8,PPARa_HNF4a,15:0_16:0_16:0,0.10807491084450951,15:0
9,pLV_NT,15:0_16:0_16:0,0.1366881704966127,15:0
10,pLV_HNF4a,15:0_16:0_16:0,0.1139157501175166,15:0
11,PPARa_NT,15:0_16:0_16:0,0.1346468849268067,15:0
12,PPARa_HNF4a,15:0_16:0_16:0,0.11748760727846629,15:0
1,pLV_NT,16:0_16:0_17:0,0.19296072559332111,16:0
2,pLV_HNF4a,16:0_16:0_17:0,0.22584727792122236,16:0
3,PPARa_NT,16:0_16:0_17:0,0.2135906676063264,16:0
4,PPARa_HNF4a,16:0_16:0_17:0,0.2654403370564449,16:0
5,pLV_NT,16:0_16:0_17:0,0.22439242886806185,16:0
6,pLV_HNF4a,16:0_16:0_17:0,0.2211206492594878,16:0
7,PPARa_NT,16:0_16:0_17:0,0.22898730528815212,16:0
8,PPARa_HNF4a,16:0_16:0_17:0,0.17405962758678634,16:0
9,pLV_NT,16:0_16:0_17:0,0.23492747360726976,16:0
10,pLV_HNF4a,16:0_16:0_17:0,0.22971329898248177,16:0
11,PPARa_NT,16:0_16:0_17:0,0.2312507673242333,16:0
12,PPARa_HNF4a,16:0_16:0_17:0,0.2203054733059651,16:0
