Name,plasmid,siRNA,protein (mg),PC 18:1_18:1,PC 16:0_18:1,PC 16:1_18:1,PC 16:0_16:1,SM d34:1,PC 15:0_18:1(d7),PC 18:0_18:1,SM d42:2,PE 18:1_18:1,PC 18:1_18:2,SM d34:0,TG 15:0_18:1(d7)_15:0,PC 16:0_16:0,PC 14:0_16:0,PC 17:1_18:1,PC 16:0_17:1,PC 16:1_17:1,PE 16:0_18:1,SM d42:1,PE 18:1_20:5,SM d33:1,PC 16:1_16:1,PE 18:1_20:4,SM d40:1,PC 16:1_18:2,PC 16:0_22:6,PE 18:0_18:1,PC 17:0_18:1,PC 31:1,PE 36:5,PC 14:0_16:1,TG 54:2,PC 16:1_20:3,PC 38:3,PC 18:1_20:2,PC 18:1_20:4,PC 18:1_22:6,PE 16:1_18:1,PE 18:0_22:6,PC 38:4,PC 38:1,PS 18:0_18:1,TG 18:1_18:1_18:1,SM d18:1_18:1(d9),PE 16:0_22:6,PE 18:1_22:6,PC 32:2,PC 18:1_19:1,LPC 18:1/0:0(d7),PC 16:0_20:4,PC 18:1_20:3,PC 40:2,PC 18:1_20:5,PC 16:1_18:2.1,PS 16:0_18:1,SM d36:1,PE 40:5,PS 15:0_18:1(d7),PS 18:0_22:6,Cer_NS d18:1_24:1,PC 18:0_20:5,SM d34:2,PE 16:0_16:1,TG 16:0_16:0_18:0,PC 18:1_20:1,TG 18:0_18:1_20:1,PC 38:4.1,CE 18:1(d7),PE 16:1_18:2,PS 18:0_22:5,PS 18:0_20:4,PC 36:5,PS 38:5,TG 18:1_18:1_20:1,PC 18:1_22:5,PC 16:1_20:4,HexCer_NS d18:1_24:0,LPC 18:0/0:0,Cer_NS d18:1_24:0,HexCer_NS d18:1_16:0,Cer_NS d18:1_16:0,PC 40:6,PC 18:0_22:5,SM d38:1,SM d38:1.1,LPC 16:0/0:0,PG 18:1_18:1,PS 16:0_20:4,PC 16:0_20:3,PC 40:1,PC 16:0_17:0,TG 16:1_18:1_18:1,PC 29:0,PC 14:0_17:0,TG 14:0_16:0_18:1,PC 29:2,PC 42:2,PE 18:1_20:3,SM d32:1,SM d35:1,TG 18:0_18:1_20:0,PC 37:5,PC 14:0_14:0,SM d41:1,PC 42:1,LPC 0:0/18:1,PS 18:0_20:3,PC 17:1_20:4,PS 16:1_18:1,PC 18:1_18:4,PC 37:1,PC 36:0,TG 58:3,TG 16:0_18:1_19:1,DG 16:0_18:1,LPC 26:0/0:0,DG 18:1_18:1,Cer_NDS d18:0_16:0,PS 32:1,TG 54:2.1,TG 16:0_17:0_18:1,TG 54:3,DG 18:0_20:4,PE 17:1_18:1,CE 18:1,PE 17:1_22:6,PC 42:3,Cer_NS d18:1_22:0,LPC 18:1/0:0,PC 40:4,PC 42:7,BMP 18:1_22:6,PC 39:5,HexCer_NS d18:1_22:0,TG 18:0_18:1_20:3,PE 36:5.1,SM d42:4,SM d41:2,PC 37:4,PS 18:1_22:5,PC 44:2,Cer_NS d18:2_24:1,TG 16:0_18:0_20:0,PE 16:1_16:1,PG 16:0_20:4,CL 70:4,PC 38:6,PE 16:1_22:6,PC 35:3,PC 35:2,PE 16:0_20:3,PC 39:6,PC 44:1,CL 68:4,CL 70:5,PE 15:0_18:1(d7),PC 37:3,PS 36:4,PC 35:2.1,SM d40:0,SM d36:0,PC 16:1_22:6,TG 18:1_18:1_19:1,TG 18:1_22:0_22:1,PG 16:1_20:2,PC 35:4,CL 68:2,PE 17:0_16:1,LPC 0:0/16:0,TG 50:0,SM d44:2,DG 18:1_20:4,PE 18:0_20:1,DG 16:1_18:1,CL 70:3,PC 42:4,TG 56:2,TG 14:0_16:0_16:0,CL 72:5,PS 40:4,BMP 22:6_22:6,TG 18:1_20:1_20:2,TG 56:3,Cer_NS d18:2_16:0,PC 40:0,TG 16:0_18:1_22:5,CE 20:4,CL 68:3,TG 48:1,LPC 16:1/0:0,TG 17:1_18:1_18:1,PC 19:1_16:2,PE 42:7,SM d32:0,DG 18:0_18:1,PC 42:8,SM d44:3,TG 16:0_16:0_17:0,PE 16:0_16:0,PC 39:5.1,TG 52:3,CL 72:4,LPC 0:0/16:1,PE 37:6,PS 18:0_20:2,TG 14:0_16:0_16:1,Cer_NS d18:1_18:0,PC 14:1_16:1,LPC 24:0/0:0,Cer_NS d18:2_22:0,PC 16:0_26:0,PC 34:1,DG 18:0_18:1.1,LPC 0:0/18:0,DG 16:0_16:0,TG 58:2,CE 18:2,PC 36:6,Cer_NS d18:1_23:0,BMP 22:5_22:6,PE 16:1_20:5,LPC 20:1/0:0,SM d36:1.1,PE 34:3,Cer_NS d18:1_23:1,CL 72:6,Cer_NS d18:1_14:0,DG 18:0_20:3,PC 28:1,PE 30:1,PC 39:4,PC 41:2,TG 16:0_18:1_20:4,LPC 20:0/0:0,LPC 24:1/0:0,PC 44:4,DG 18:1_20:1,PC 44:5,CE 22:6,PC 38:7,DG 18:0_20:3.1,DG 16:0_22:6,BMP 20:1_22:6,Cer_NS d17:1_16:0,LPC 14:0/0:0,LPC 26:1/0:0,SM d44:1,DG 18:1_22:6,TG 18:0_18:1_22:6,TG 46:1,CL 66:3,SM d33:0,Cer_NS d18:2_16:1,DG 16:0_18:0,TG 15:0_16:0_16:0,TG 54:5,DG 16:0_20:4,DG 18:1_18:2,Cer_NS d18:1_17:0,BMP 16:1_22:6,PC 43:2,CL 70:6,Cer_NS d18:1_16:0.1,HexCer_NS d18:2_16:0,Cer_NS d18:1_20:0,PE 35:3,CE 16:1,TG 46:0,SM d41:0,PG 17:1_18:1,TG 53:1,DG 26:0_18:1,ACar 16:0,LPC 22:0/0:0,PC 46:6,CL 66:2,HexCer_NS d18:1_18:0,PC 34:5,PC 44:0,Cer_NS d18:1_26:0,PC 40:8,SM d42:3,LPC 0:0/20:1,BMP 18:2_22:6,LPC 22:1/0:0,HexCer_NS d18:1_20:0,PC 3:0_23:0,DG 20:0_18:1,CE 20:1,TG 15:0_15:0_15:0,SM d32:2,CE 20:5,DG 16:0_26:0,PE 40:8,LPC 0:0/22:6,HBMP 18:1_18:1_18:1,BMP 20:3_22:6,BMP 22:4_22:6,PC 22:5_22:6,Cer_NDS d18:0_18:0,SM d31:1,ACar 18:1(d3)
1,pLV,NT,0.734375015,16916379,19029164,12725819,10197896,8487571,7176579,12009099,4708464,3809796,2974362,2293904,2193772,2166120,1678476,1680369,332002,1555168,1500957,1776759,1987062,1325099,1137191,3172914,NA,1258509,782320,1226635,1035891,958279,1469305,692927,717099,1024606,776269,NA,652909,675882,NA,703333,672454,1075978,690090,709863,547016,770105,844020,407639,493118,428203,406704,542897,474516,420844,314101,242440,904944,756776,57945,361558,648732,362411,519175,140689,284130,1358862,233696,NA,301049,303192,270127,230148,406246,241458,190126,285285,235230,545925,282900,477443,254710,311002,262534,191207,530132,533961,151904,492308,84079,689910,171322,330799,141161,331092,328389,134130,115949,159139,8075564,177435,194606,114080,305091,127829,134865,155405,62405,144759,141870,372980,91274,186045,NA,93440,95484,224114,95020,270808,108296,199221,717099,73880,709863,352199,51123,95359,84555,91945,157274,78583,193150,142621,122292,NA,181504,67322,270359,NA,338151,38146,131087,76680,100803,52621,24786,149881,194463,27702,98779,244135,NA,10507897,92740,63813,154789,147067,19142,140897,85289,NA,29996,32168,36457,32946,36810,305568,141432,180717,101483,20776,284130,114898,153609,48447,89506,151565,76110,233696,39028,220235,NA,49450,32043,190126,46399,30399,24910,33166,108299,134087,13928,27562,NA,134279,28679,102569,102012,NA,26630,23231,48750,148599,217700,7348,163608,82020,27266,19553,19693,22374,46431,27094,59884,102569,20475,51832,132933,24159,13878,44772,27769,16494,17263,6499817,7023477,46376,75241,37628,48201,16448,7231,28658,31649,30481,15928,12709,32470,40814,28409,27304,26046,17808,15195,NA,21231,8965,15939,27222,14385,15345,27324,40134,12192,14808,29948,14796,30481,36064,27455,22964,20527,30415,28902,11950,140549,20047,856394,13384,38370,11433,886816,56141,12743,26603,9526,11736,39137,NA,11234,10519,17409,NA,NA,3250,12499,5997,34497,4691,18495,6252,7726,10552,9843,8813,126890,2685,11489,10203,10257,12152,4344,4256,4847284
2,pLV,HNF4a,0.635399997,17076892,19191227,15186849,12286722,9553484,8467237,10355108,5194695,4183463,3473760,2778056,2142372,2456936,2118960,2124197,287975,2491271,1858341,1882194,2588360,1752262,2029341,3303381,NA,1869048,932986,1208699,1186547,1410824,1883323,1100508,612588,1487915,1034612,NA,753601,937638,648994,823509,605938,1178927,694167,593162,655117,869107,974797,852751,588337,533258,450713,749180,522294,785500,532348,379070,NA,891081,55564,369347,761001,471544,756358,291274,231383,752719,227264,166529,261852,443897,353507,305926,528728,254346,177023,229602,374647,662683,246933,524930,385303,330009,258610,184420,417671,415882,176015,475367,232795,1020610,186437,320578,144298,452139,423796,163058,140064,182371,13490722,249772,241638,115022,375291,173114,165773,161732,142504,170922,204848,456891,98635,215818,231654,94223,95080,289755,116382,238294,114175,182322,612495,89561,592715,231154,44536,92662,134405,87385,184490,97130,177689,142657,147196,NA,217211,56539,369869,NA,445544,55430,159353,90829,120179,48700,24897,183497,217753,51473,127973,204726,NA,10411897,97282,61496,201279,193618,20826,213393,NA,NA,34263,40187,53281,40314,41886,466366,163706,170374,138642,37832,231383,138949,70783,NA,115461,148042,86344,227264,42010,233304,NA,55159,20039,177023,57040,NA,13914,36755,129172,163085,31258,24167,121653,101396,38405,100938,112459,228732,26336,23067,55805,144298,202823,24560,201793,82861,35704,33983,36620,29655,45656,31232,62517,100883,26759,64257,138692,22985,25498,52495,35240,33176,22643,7669039,8329791,53406,99817,44105,30157,22551,19594,34655,33641,27334,17780,24908,27727,38556,30712,27685,NA,NA,16270,44364,28757,12360,17218,29062,13353,10265,35703,55261,16826,20557,29483,13804,27334,27416,20136,27797,23312,33350,45689,21938,198893,20368,1118390,11649,42068,13923,1123297,27457,14126,31731,8892,11094,34985,NA,13254,12058,21883,11286,NA,4163,17606,6090,NA,8525,20025,8391,10425,15149,8453,8806,174605,5308,5900,9894,9844,14789,NA,4940,5660294
3,PPARa,NT,0.599319994,15911978,18584862,10571105,8386960,7231886,6794045,8265719,3615431,2881232,2229127,1924913,2061166,1837301,1361832,1242753,NA,1194659,1222749,1347006,1663129,1091380,793747,2151986,1038966,1020912,735352,991388,760635,722644,1097778,485609,885359,837098,624813,641295,616181,464811,879582,617836,725312,829103,549357,837064,551953,699693,787999,331697,368694,433072,389109,549672,347334,402708,219442,294670,456391,606897,44346,296569,531798,315380,387590,208505,293254,940716,285854,NA,276262,292076,252999,233631,324376,207036,260956,161501,168856,440609,151075,395749,288676,257970,140371,166590,406869,407201,88600,459084,98664,969249,120788,262700,155993,271917,312910,141494,102569,109108,13709121,130252,148655,150120,266494,90520,112294,113367,94948,109718,122218,287770,76384,152648,NA,123914,111017,176137,81647,158488,95375,121097,885359,90777,841073,144580,34327,71306,106459,72029,132420,42732,162433,113799,106583,110332,143982,77157,65168,NA,273548,24571,114937,54146,92865,74069,18946,126171,163691,48184,86811,216694,NA,10427153,73803,49169,114855,109821,25200,170984,NA,263929,34269,21834,31885,50948,45610,138332,123891,151773,129077,20704,283531,79673,39947,42039,63725,124742,50753,285854,38538,172736,NA,49544,38673,261148,37963,23556,26970,26505,85804,141494,15394,18934,50240,143497,NA,NA,87291,150992,22602,19769,50023,155993,176508,14511,126426,78116,28585,26699,17608,22212,32544,21810,41306,77405,15216,37126,152346,15996,16136,36797,32303,15036,13969,5661959,5747472,31119,55422,29777,25144,12040,9193,23417,25045,33176,11052,28493,21038,26721,26711,21661,20214,8915,13799,69398,17231,6741,9849,24683,13062,14179,28570,30247,NA,18472,23326,12748,33176,17497,16124,19847,18913,NA,24433,14188,122897,15585,641363,9111,38170,9850,766988,63342,9818,19690,6681,9895,34909,NA,13466,10312,17495,NA,NA,4455,12046,4713,22376,3756,13910,7854,8608,10727,7390,6411,94323,3227,10535,10559,8665,12006,6087,4009,4720605
4,PPARa,HNF4a,0.545799994,14909725,18513964,11446698,9239552,6919388,7486249,7307678,3227414,2998400,2192965,1711665,2207868,1804780,1371383,1328174,NA,1550479,1250996,1081134,2025636,1176561,1067626,2335913,966244,1021841,862607,788967,696507,863182,1407571,625860,550159,994429,600550,593162,562388,545725,NA,562235,689524,714507,498715,544116,585415,626720,766769,429967,333230,460092,355756,507502,317875,360848,289345,168274,739468,548312,68256,265812,534694,342650,435951,248693,214469,NA,209806,NA,310502,345855,165219,243619,370301,206209,165925,245797,102925,438866,153071,370392,286224,254877,141021,170699,377972,383870,94895,464705,185716,922007,105531,279074,111799,328211,386164,130056,133162,101431,14182622,149831,NA,120525,289002,104567,108120,104369,97857,119404,136205,349728,76849,NA,NA,88150,90419,146514,74281,118226,84303,179389,572317,72203,544174,136593,43372,98398,80013,74045,137355,47849,148279,102289,95691,87819,134339,53770,195994,331582,285631,37827,113629,52846,93426,58117,30575,135165,126201,52147,89234,215206,NA,10496835,77281,37874,107009,106341,31711,182587,85474,91457,26432,16788,39289,29824,37927,170086,117613,121040,124340,22756,214469,76844,43381,32865,57668,93508,53533,209806,30143,125404,NA,51187,29255,165925,38397,NA,19843,32303,67440,130056,15584,25764,61895,107889,10002,53498,99852,139997,27401,18225,40283,111799,141543,18306,144489,64280,25336,33182,20060,20333,34338,21215,34000,52968,15770,32523,138986,22546,15604,37600,30035,25238,12290,6549981,6378655,34573,52298,30852,22609,14735,6610,22408,20608,28265,10406,27277,25761,24231,25437,27707,33403,13298,16165,NA,21585,6805,13989,22381,13116,9919,25369,32514,NA,16604,15365,13878,28265,17081,16399,19200,21232,24807,29519,13918,123461,16375,711969,11165,30154,14172,879635,50792,10327,27769,8334,10859,25149,NA,12208,NA,13887,NA,NA,4654,12588,NA,NA,5626,15182,7452,6954,10295,7532,4952,106682,4168,7326,NA,7596,11953,3734,2968,5052606
5,pLV,NT,0.659799993,16687831,18965063,12187767,9728507,8217998,7017045,8738432,4495550,3374552,2802622,2274202,2128955,2091103,1629127,1487948,NA,1485823,1422405,1669026,1991646,1299575,1064524,2658372,1214306,1210889,1004128,1059876,934945,872009,1282697,645250,945959,776992,708204,NA,672619,586058,1019361,661335,709405,1027167,618403,796133,536503,734420,842372,480189,453617,416868,403434,477925,440660,394172,293632,308959,NA,737474,65345,310859,585688,360162,489682,252934,332940,1034969,330768,NA,277375,325000,196298,233078,336389,325179,282017,258737,184877,525187,185454,456842,326109,269215,208070,186068,415078,384339,115685,477995,186569,983029,155152,256018,173040,315562,312527,158834,132466,140995,13402433,170974,174695,155451,264014,116568,130609,131660,114560,132167,164372,356286,65600,164521,NA,137055,121419,242452,91246,192151,91482,163311,945959,91845,797450,149303,50992,81519,83923,80952,145834,64505,187361,125858,114739,NA,162786,66851,231543,NA,328653,43653,129089,69120,92520,71895,46282,151656,200994,43901,81060,219825,NA,10446129,81254,59348,148034,143952,28198,187057,187337,NA,NA,33267,34534,29913,56410,NA,133582,179821,126501,25318,332940,112267,48968,43668,79678,163380,62508,330768,42384,195838,NA,47265,39074,282017,40043,28861,31891,27788,114851,157492,14969,37212,89150,104790,26060,NA,100520,NA,27001,18385,52572,173040,188060,17408,143329,87366,29939,26081,18926,21118,38027,27597,NA,90527,15761,46647,176819,19550,12277,40299,33752,18322,16949,6062364,6744703,34966,70916,32679,26487,16264,10480,29388,28310,33140,15283,25459,30898,31841,30893,24379,29912,NA,12628,NA,20776,9215,15932,25109,11758,16217,29939,39140,NA,18877,27404,11675,33794,20333,16901,21688,17961,33691,28856,14313,139825,17441,767352,11576,42413,10854,1012367,65340,14774,25336,7575,11337,34532,91728,NA,NA,14479,NA,NA,5267,9517,5444,NA,4490,19270,6886,8188,10703,7836,8043,111969,5084,12870,10042,9819,11583,3761,4122,4575799
6,pLV,HNF4a,0.74241997,17034653,19119229,14865443,12020607,9375862,7631293,11499672,5125355,4124466,3383293,2678248,2217126,2392543,2044279,2022872,1182588,2343116,1732769,1837145,2487802,1695538,1941647,3493514,1424968,1759281,1377083,1282899,1106877,1309724,1486249,1041582,808903,1402945,889186,NA,662876,853920,NA,821866,565862,1078650,650268,662630,602488,800304,924296,667589,567130,450437,392709,638549,525608,796076,497204,302453,927774,900065,79335,356172,717677,448040,707114,368688,329223,NA,320502,NA,282026,429970,266051,290683,438385,254760,229835,204279,298623,633535,238638,543416,390434,313527,202451,158369,484679,525787,161834,500923,232178,1086977,196749,324222,167389,463469,422974,179170,151046,177901,14790410,236723,206246,140601,354166,166658,164460,165350,150057,151541,188995,406676,98815,214565,NA,126126,114779,279286,111342,220591,104103,254664,808559,109361,661560,200094,60308,100958,111020,81915,174232,84732,177473,136090,144490,112747,219606,66376,353367,461798,388171,59115,84271,81650,108182,60569,27085,205393,233819,82247,132678,181401,501383,10446610,98940,65111,206482,191412,26913,207883,232178,NA,30444,44761,38338,38352,47242,406272,158978,168611,144328,30314,315173,130242,67218,43672,98569,132898,80787,320502,43244,195664,NA,57585,19608,229835,50056,31051,23748,39305,126369,179144,24145,33321,108411,115549,32452,93236,115438,223392,31179,28427,53481,167389,199455,23950,165175,83866,43614,22507,30004,25428,44143,30420,NA,94612,21217,58235,168835,26331,14748,49399,35015,31126,22600,5876970,8239916,45040,106782,44521,39247,20674,18094,32597,32926,34284,15987,27460,32269,31821,24038,30883,NA,16291,12934,76183,28441,13262,18807,27644,11502,11137,43601,47344,NA,21576,22573,14795,35066,22034,19473,23466,22631,33773,37409,20010,191423,19289,1064792,11880,43244,11027,980279,71267,14553,28603,9586,12090,35519,NA,13253,9815,18043,NA,NA,6296,15073,6973,NA,10251,18715,9305,10222,11955,9751,10329,163079,7316,12168,10975,7901,12682,7333,4059,4955996
7,PPARa,NT,0.628599989,16769230,19028337,12311781,9765378,8455571,6904967,10665100,4167188,3799078,2685210,2627636,2216790,2115800,1703187,1537381,753989,1513687,1477180,1689709,1980590,1331778,984078,2779192,1235215,1256733,1208142,1038075,990619,946052,1266318,651871,1062776,977404,775647,807108,732801,712900,NA,693848,635202,1035052,631777,938701,579342,784419,904133,422233,456001,459068,450696,501613,426537,695597,305357,219841,834668,750121,46489,350758,605970,423346,510299,184449,322161,NA,365471,NA,277663,335920,295590,283020,431709,239796,286145,185145,259640,514050,178911,459211,311395,286165,151216,191432,510787,521691,119533,300074,189759,1114074,148522,217021,200011,341093,404233,165017,115478,128478,15161821,180228,189900,162442,317916,123447,125025,133064,112518,150031,151651,327297,86398,179301,NA,138357,121321,223461,92726,199460,101578,129433,1062617,100115,938907,165247,52025,73451,128119,70925,162240,62742,188608,116932,122780,105029,175486,93928,98995,NA,336946,NA,122997,60110,94533,88591,NA,149049,213396,67861,100314,287084,337459,10597476,89289,57745,148344,141727,25928,202470,NA,NA,26398,34273,36625,33260,56052,97535,139931,188691,151167,27806,322161,107663,52744,44750,69365,169758,68289,365471,38275,224373,25700,60435,31352,286145,42364,17188,39982,28401,116652,164999,13153,31857,93540,110298,29375,NA,101405,NA,27334,18504,43476,200011,209121,14998,150460,74326,35790,28164,16683,21319,38064,24976,NA,90087,19219,44567,185375,22890,15883,39154,36586,20620,15617,6655418,6754789,34748,75296,31316,27717,15165,14994,26346,31241,38358,13615,29504,26238,31665,26661,23059,18613,10872,9302,72914,20314,7532,14713,23253,7910,10792,35790,40633,NA,17639,24134,13668,38358,18947,18198,20605,19607,NA,25234,NA,136053,15773,806974,11043,38328,9696,722676,62579,12011,20058,7805,12447,33776,NA,15245,12466,18001,NA,13215,4365,10771,5757,NA,4668,18608,4546,7794,11183,7718,7478,123622,4823,11548,10969,10010,14177,5240,4437,5133388
8,PPARa,HNF4a,0.686339986,16086386,18850142,12750788,10058287,7561336,6696753,9558766,3816730,3225624,2415758,1972996,2259313,1898877,1490180,1477804,NA,1687146,1324925,1310440,2067623,1319289,1363681,2394398,1137602,1369010,924287,858643,812034,960006,1501495,717095,710042,1106545,668062,671181,567573,585317,172422,698401,690124,831934,522459,640667,559681,665246,807015,572611,423387,425591,320872,520720,367225,576429,338562,283182,NA,674113,65522,266104,558991,349851,505616,226773,271317,NA,272321,NA,309865,371609,216916,250383,375438,205402,232314,163734,241454,493428,174382,413520,314373,264394,150480,169742,455575,456902,134764,480225,200965,666359,122862,273361,144297,339905,320728,155790,132589,109993,12856112,170629,185666,97058,304668,99411,131355,114116,126947,132929,145932,341126,68397,NA,NA,110541,100950,194429,90507,159222,93994,184181,711259,88992,614434,164829,31124,108167,118181,63689,150367,74158,157702,98721,117145,99806,155302,57238,219041,383607,287912,46913,75235,61333,90615,67686,33982,123253,173248,41267,106673,222571,402976,9192695,81385,42232,151295,138361,22064,177057,200965,NA,37713,37937,32331,42278,42127,NA,134983,137977,118613,29354,271317,92081,49243,38670,71757,114247,66639,272321,37560,155496,NA,50496,12265,232313,38974,29214,21982,40069,99420,156056,22053,25894,56286,103802,23320,67730,102520,161667,23121,19260,43314,144297,183079,23440,159727,76696,31131,36905,24674,24520,39988,28330,28193,68658,17262,45395,148309,26937,16520,42947,27516,22753,17548,6454820,6939695,36847,71195,33227,28786,16643,7561,23235,23967,30861,13503,27305,21297,26460,25180,33105,NA,14913,11960,41640,23756,9239,16208,21350,9883,13121,31047,37837,NA,16827,19617,14356,30861,19678,18505,24916,23803,NA,29478,15373,148745,19923,777490,13384,37560,11941,909665,61777,10944,29229,6985,12755,25851,115513,11067,10801,15119,NA,10874,NA,9073,NA,20398,NA,18472,9231,10714,10447,9477,6836,112821,3929,10036,8833,6513,11828,3651,5079,4833095
9,pLV,NT,0.507459998,14910019,18446126,9936594,7982591,6648343,7196743,7773299,3341060,2766663,1859268,1528855,2162270,1641953,1246745,1127750,606050,1077449,1098400,1219961,1604422,1012235,699506,1854545,994414,759378,742716,825908,651923,656656,998213,468852,648711,770656,561244,536092,557512,441053,NA,583680,666600,725453,485596,553783,598222,649416,704981,326785,302405,449659,375837,421781,318232,515878,196601,219272,735323,517219,71581,255974,473401,277419,347080,199764,249825,NA,245190,NA,292020,255507,195246,184789,254986,246229,171612,190968,160556,404530,156313,387683,256326,238178,123719,186383,406385,406367,109861,360259,159216,859561,108642,223600,110255,249924,237432,112788,93354,107049,14899728,123154,144186,113238,250658,79331,119628,85812,97423,108784,121353,274298,65904,NA,163626,86977,90359,154775,80627,124099,85689,110292,648711,72148,553783,108616,NA,79832,91819,72772,135868,62131,157335,100940,99034,83953,127161,58829,50283,330338,287860,40145,93684,59578,72425,53942,21356,123696,159723,12357,85504,158382,325474,10557510,74668,49717,106901,108204,30174,186108,60486,NA,NA,25284,24944,34080,40478,152642,114610,164451,119389,20658,249825,78197,34480,32560,44638,128113,54360,245190,30098,164044,23313,46436,24941,171612,29360,NA,19261,31219,90461,112787,16351,25495,61209,114719,19897,59750,86786,134142,22082,19757,44008,110783,173748,13258,112376,63641,24394,28346,14064,15991,31096,23034,26627,60839,14670,33854,146166,20467,12049,35852,32286,16816,14580,6176204,5500384,27781,62082,30900,16039,14264,8179,20397,20891,28095,12277,30859,24952,27688,28547,27141,24396,NA,10836,26397,17061,6688,13678,25523,8824,13158,24246,33735,NA,17317,19050,12848,28095,13138,11129,18286,18390,NA,17620,13723,110287,16356,595602,9826,29266,10573,816560,41227,10398,19396,6142,9964,33679,NA,9064,NA,15540,17569,12836,4252,NA,5410,18420,NA,11989,8111,8243,8893,7015,6025,93875,3428,10559,11678,10238,9664,4126,4534,4954095
10,pLV,HNF4a,0.638060009,16210421,18777260,13002552,10426826,7834667,6672864,7679229,4146578,3419837,2645419,1983723,2323648,2023667,1550828,1550602,NA,1806703,1426272,1409210,2204631,1368544,1427677,2530690,1165574,1397439,999237,942794,835795,1042139,1573265,764387,687123,1163934,682798,614340,589591,647386,86239,688881,632081,865068,588743,587531,562620,779454,793087,595065,444668,436828,366458,539140,404527,618480,348004,307215,974662,809725,68747,290589,594277,347611,532025,285316,282189,964340,263488,136851,303537,356049,233236,232714,394548,203167,204619,208192,251397,528022,194661,438353,324583,294812,162019,162136,391680,391571,128483,802018,191834,949488,134710,279465,139424,352788,253282,149344,145184,136560,12753004,181332,193309,137505,288739,112778,139168,124830,123702,134493,138837,383578,75166,NA,NA,104786,90269,204816,98651,183888,92544,89014,687323,100712,569350,172447,43246,104363,108863,81784,151566,71270,169006,111680,113722,92175,165294,54740,281915,406896,333545,29787,124892,66904,89663,65149,26383,150748,185640,26187,103628,230132,274784,10528628,78596,51364,156529,149299,27138,179751,198818,NA,60962,31784,34751,35594,40650,110341,148867,145308,122932,28596,282189,94778,49510,37119,91684,116983,70184,263488,41364,170226,NA,47361,32528,204619,38285,28707,23066,39739,99687,149392,17944,25460,98724,86560,26556,NA,103168,168878,29175,22738,44267,139296,172328,19573,160372,89860,32418,30151,26386,26990,37614,27146,31447,81472,17502,47392,152433,25937,10037,44429,28487,25936,18156,6509405,7140707,39518,70981,31033,28039,19918,12967,31256,28247,26215,14661,25385,29348,27557,23085,33804,NA,11263,15780,65717,20485,8708,17051,NA,13713,11753,32408,40068,NA,14708,22785,14468,26215,22459,18972,22479,22560,23871,29457,16260,149703,21145,824071,12488,41562,11754,827190,49848,13303,23952,8536,12093,32344,85020,10589,9540,15987,NA,NA,NA,12917,6420,NA,5146,15923,8274,9936,8509,9809,6720,115597,4607,11508,5801,8457,10011,6066,5136,4803239
