"Name","Formula","Mass (avg)","RSD (Mass, ppm)","Saturated","RT (avg)","RT (span)","Height (avg)","Found","Missed","Score (Tgt, max)","%RSD (Tgt)","Ions (min)","Ions (max)",[Mass] liver_1_neg_02172021_96,[Mass] liver_10_neg_02172021_107,[Mass] liver_11_neg_02172021_108,[Mass] liver_12_neg_02172021_109,[Mass] liver_13_neg_02172021_110,[Mass] liver_14_neg_02172021_111,[Mass] liver_15_neg_02172021_112,[Mass] liver_16_neg_02172021_113,[Mass] liver_17_neg_02172021_114,[Mass] liver_18_neg_02172021_115,[Mass] liver_2_neg_02172021_97,[Mass] liver_3_neg_02172021_98,[Mass] liver_4_neg_02172021_99,[Mass] liver_5_neg_02172021_100,[Mass] liver_6_neg_02172021_101,[Mass] liver_7_neg_02172021_102,[Mass] liver_8_neg_02172021_103,[Mass] liver_9_neg_02172021_104,[Mass] liver_PB_neg_02172021_116,[RT] liver_1_neg_02172021_96,[RT] liver_10_neg_02172021_107,[RT] liver_11_neg_02172021_108,[RT] liver_12_neg_02172021_109,[RT] liver_13_neg_02172021_110,[RT] liver_14_neg_02172021_111,[RT] liver_15_neg_02172021_112,[RT] liver_16_neg_02172021_113,[RT] liver_17_neg_02172021_114,[RT] liver_18_neg_02172021_115,[RT] liver_2_neg_02172021_97,[RT] liver_3_neg_02172021_98,[RT] liver_4_neg_02172021_99,[RT] liver_5_neg_02172021_100,[RT] liver_6_neg_02172021_101,[RT] liver_7_neg_02172021_102,[RT] liver_8_neg_02172021_103,[RT] liver_9_neg_02172021_104,[RT] liver_PB_neg_02172021_116,[Height] liver_1_neg_02172021_96,[Height] liver_10_neg_02172021_107,[Height] liver_11_neg_02172021_108,[Height] liver_12_neg_02172021_109,[Height] liver_13_neg_02172021_110,[Height] liver_14_neg_02172021_111,[Height] liver_15_neg_02172021_112,[Height] liver_16_neg_02172021_113,[Height] liver_17_neg_02172021_114,[Height] liver_18_neg_02172021_115,[Height] liver_2_neg_02172021_97,[Height] liver_3_neg_02172021_98,[Height] liver_4_neg_02172021_99,[Height] liver_5_neg_02172021_100,[Height] liver_6_neg_02172021_101,[Height] liver_7_neg_02172021_102,[Height] liver_8_neg_02172021_103,[Height] liver_9_neg_02172021_104,[Height] liver_PB_neg_02172021_116,[Score (MFE)] liver_1_neg_02172021_96,[Score (MFE)] liver_10_neg_02172021_107,[Score (MFE)] liver_11_neg_02172021_108,[Score (MFE)] liver_12_neg_02172021_109,[Score (MFE)] liver_13_neg_02172021_110,[Score (MFE)] liver_14_neg_02172021_111,[Score (MFE)] liver_15_neg_02172021_112,[Score (MFE)] liver_16_neg_02172021_113,[Score (MFE)] liver_17_neg_02172021_114,[Score (MFE)] liver_18_neg_02172021_115,[Score (MFE)] liver_2_neg_02172021_97,[Score (MFE)] liver_3_neg_02172021_98,[Score (MFE)] liver_4_neg_02172021_99,[Score (MFE)] liver_5_neg_02172021_100,[Score (MFE)] liver_6_neg_02172021_101,[Score (MFE)] liver_7_neg_02172021_102,[Score (MFE)] liver_8_neg_02172021_103,[Score (MFE)] liver_9_neg_02172021_104,[Score (MFE)] liver_PB_neg_02172021_116,[Score (Tgt)] liver_1_neg_02172021_96,[Score (Tgt)] liver_10_neg_02172021_107,[Score (Tgt)] liver_11_neg_02172021_108,[Score (Tgt)] liver_12_neg_02172021_109,[Score (Tgt)] liver_13_neg_02172021_110,[Score (Tgt)] liver_14_neg_02172021_111,[Score (Tgt)] liver_15_neg_02172021_112,[Score (Tgt)] liver_16_neg_02172021_113,[Score (Tgt)] liver_17_neg_02172021_114,[Score (Tgt)] liver_18_neg_02172021_115,[Score (Tgt)] liver_2_neg_02172021_97,[Score (Tgt)] liver_3_neg_02172021_98,[Score (Tgt)] liver_4_neg_02172021_99,[Score (Tgt)] liver_5_neg_02172021_100,[Score (Tgt)] liver_6_neg_02172021_101,[Score (Tgt)] liver_7_neg_02172021_102,[Score (Tgt)] liver_8_neg_02172021_103,[Score (Tgt)] liver_9_neg_02172021_104,[Score (Tgt)] liver_PB_neg_02172021_116,[Ions] liver_1_neg_02172021_96,[Ions] liver_10_neg_02172021_107,[Ions] liver_11_neg_02172021_108,[Ions] liver_12_neg_02172021_109,[Ions] liver_13_neg_02172021_110,[Ions] liver_14_neg_02172021_111,[Ions] liver_15_neg_02172021_112,[Ions] liver_16_neg_02172021_113,[Ions] liver_17_neg_02172021_114,[Ions] liver_18_neg_02172021_115,[Ions] liver_2_neg_02172021_97,[Ions] liver_3_neg_02172021_98,[Ions] liver_4_neg_02172021_99,[Ions] liver_5_neg_02172021_100,[Ions] liver_6_neg_02172021_101,[Ions] liver_7_neg_02172021_102,[Ions] liver_8_neg_02172021_103,[Ions] liver_9_neg_02172021_104,[Ions] liver_PB_neg_02172021_116,
PI 18:0_20:4,C47 H83 O13 P,886.5576,0.19,0,5.83,0.023,2961716,18,1,99.9,0.3,5,7,886.5576,886.5575,886.5576,886.5579,886.5578,886.5574,886.5573,886.5578,886.5575,886.5576,886.5575,886.5576,886.5575,886.5575,886.5579,886.5574,886.5576,886.5573,,5.832,5.835,5.829,5.824,5.830,5.831,5.833,5.832,5.832,5.829,5.846,5.834,5.830,5.827,5.829,5.840,5.840,5.839,,2054345,2831225,3242697,7233433,2635098,1887329,774183,3416497,1273194,3005572,2161665,2186980,3666963,5303798,5327936,2548354,1543479,2218140,,,,,,,,,,,,,,,,,,,,,99.62,99.77,99.45,98.84,99.36,99.62,99.76,99.40,99.66,99.44,99.83,99.69,99.54,99.34,99.15,99.88,99.81,99.94,,6,5,6,6,6,5,5,6,6,7,6,6,6,6,6,5,7,6,,
PE 16:0_22:6,C43 H74 N O8 P,763.5157,0.20,0,5.76,0.034,3274910,18,1,99.7,0.6,5,6,763.5159,763.5158,763.5157,763.5159,763.5157,763.5156,763.5157,763.5154,763.5156,763.5156,763.5155,763.5157,763.5156,763.5156,763.5155,763.5158,763.5159,763.5155,,5.760,5.757,5.751,5.740,5.752,5.758,5.755,5.754,5.754,5.757,5.774,5.761,5.763,5.760,5.763,5.767,5.762,5.772,,2923063,3367238,2750862,3020221,2632374,3105307,2852508,3126618,2686625,3146469,4169632,3276357,3568357,3448668,3722693,3634573,3629899,3886919,,,,,,,,,,,,,,,,,,,,,98.99,99.30,99.69,99.50,99.63,99.34,99.50,99.71,99.59,99.47,97.82,99.04,99.00,99.23,99.05,98.37,98.84,98.02,,6,6,5,6,5,5,6,6,5,5,5,5,6,6,6,6,5,6,,
PE 18:0_20:4,C43 H78 N O8 P,767.5469,0.21,0,6.87,0.011,2854070,18,1,100.0,0.1,5,6,767.5470,767.5469,767.5470,767.5467,767.5470,767.5469,767.5469,767.5469,767.5468,767.5472,767.5469,767.5468,767.5472,767.5469,767.5467,767.5468,767.5471,767.5466,,6.869,6.872,6.871,6.877,6.874,6.869,6.866,6.869,6.870,6.872,6.871,6.875,6.873,6.871,6.872,6.876,6.872,6.876,,2365852,3253038,2470436,3829725,2664944,2310190,1742604,2516781,1873280,2685632,3454306,3662041,2373742,2420756,2788581,3726570,3134315,4100481,,,,,,,,,,,,,,,,,,,,,99.65,99.77,99.71,99.92,99.74,99.65,99.51,99.73,99.80,99.53,99.74,99.88,99.56,99.76,99.88,99.91,99.57,99.96,,6,6,5,5,6,5,5,5,5,5,6,6,6,5,5,6,5,5,,
PE 18:0_22:6,C45 H78 N O8 P,791.5469,0.17,0,6.64,0.014,2593790,18,1,99.9,0.2,5,6,791.5469,791.5469,791.5468,791.5468,791.5470,791.5470,791.5472,791.5469,791.5467,791.5471,791.5470,791.5469,791.5471,791.5469,791.5467,791.5468,791.5472,791.5469,,6.635,6.638,6.637,6.637,6.634,6.635,6.631,6.629,6.636,6.632,6.637,6.636,6.638,6.636,6.643,6.642,6.637,6.642,,1827432,2712680,2323831,3317813,2291923,2576412,2239243,2165955,2136581,2488618,2355367,2250772,2967013,2891288,3043937,3032389,2720919,3346048,,,,,,,,,,,,,,,,,,,,,99.59,99.69,99.72,99.74,99.48,99.50,99.16,99.22,99.72,99.27,99.63,99.66,99.60,99.67,99.94,99.85,99.49,99.79,,5,6,6,5,6,6,6,5,5,5,6,6,6,5,5,5,6,6,,
PE 18:0_18:2,C41 H78 N O8 P,743.5469,0.20,0,7.00,0.011,1774871,18,1,100.0,0.1,5,6,743.5468,743.5470,743.5469,743.5471,743.5469,743.5470,743.5469,743.5470,743.5467,743.5470,743.5469,743.5467,743.5470,743.5467,743.5466,743.5468,743.5471,743.5467,,6.998,7.000,6.994,7.005,7.002,6.998,6.994,6.998,6.998,7.000,6.998,7.004,6.995,6.998,7.000,7.004,7.000,7.004,,1189756,2076372,1631956,2557885,1873416,1742285,1074277,1719474,1372063,1825487,1765930,1645154,1282856,1520946,1578172,2501031,1932771,2657856,,,,,,,,,,,,,,,,,,,,,99.83,99.76,99.63,99.72,99.82,99.71,99.60,99.72,99.88,99.76,99.76,99.95,99.59,99.87,99.95,99.89,99.64,99.92,,5,5,6,5,5,6,5,5,6,6,5,5,6,5,5,6,6,5,,
PE 18:0_20:4,C43 H78 N O8 P,767.5462,2.02,0,6.76,0.030,117997,19,0,99.9,20.3,1,5,767.5467,767.5465,767.5465,767.5465,767.5466,767.5463,767.5465,767.5464,767.5464,767.5466,767.5470,767.5463,767.5463,767.5463,767.5463,767.5466,767.5467,767.5467,767.5398,6.764,6.766,6.765,6.737,6.762,6.763,6.765,6.763,6.764,6.766,6.765,6.764,6.761,6.765,6.766,6.765,6.766,6.764,6.736,129742,152974,112654,170824,95848,87144,75629,114628,69427,110654,211230,186953,62592,68846,78965,169108,159505,184499,732,,,,,,,,,,,,,,,,,,,,99.76,99.83,99.07,99.57,99.31,99.51,98.90,99.77,99.41,99.56,99.59,99.73,99.37,97.42,99.35,99.89,99.75,99.78,15.40,4,4,4,4,4,5,4,4,4,4,4,4,4,3,4,5,4,4,1,
PE 18:1_22:6,C45 H76 N O8 P,789.5312,0.19,0,5.87,0.029,1972945,18,1,99.9,0.5,4,5,789.5311,789.5314,789.5310,789.5311,789.5313,789.5314,789.5314,789.5313,789.5312,789.5311,789.5312,789.5312,789.5314,789.5313,789.5313,789.5310,789.5315,789.5310,,5.866,5.868,5.868,5.880,5.864,5.864,5.850,5.871,5.854,5.868,5.869,5.862,5.869,5.872,5.874,5.868,5.862,5.867,,1970718,1903941,1734903,1576875,1804716,1978674,2228296,2049294,2067134,1900969,2504009,1946024,1768566,1637018,1784146,2100143,2338926,2218673,,,,,,,,,,,,,,,,,,,,,99.63,99.61,99.76,99.89,99.44,99.41,98.08,99.73,98.66,99.74,99.74,99.37,99.57,99.70,99.79,99.77,99.17,99.71,,4,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,,
PE 18:0_22:6,C45 H78 N O8 P,791.5470,1.67,0,6.52,0.050,81417,19,0,99.3,19.0,1,5,791.5472,791.5467,791.5465,791.5470,791.5467,791.5467,791.5469,791.5465,791.5468,791.5466,791.5469,791.5465,791.5466,791.5468,791.5467,791.5467,791.5466,791.5469,791.5525,6.518,6.515,6.514,6.515,6.517,6.518,6.514,6.512,6.518,6.515,6.514,6.519,6.516,6.519,6.515,6.514,6.515,6.519,6.469,56776,105069,93531,146171,67804,88341,58488,88028,70380,92493,106158,66125,56616,53620,57888,103509,104479,130726,729,,,,,,,,,,,,,,,,,,,,92.31,95.51,97.97,98.58,93.64,98.69,98.00,99.28,98.26,97.69,97.76,94.77,96.12,96.73,93.69,96.08,97.16,96.92,20.18,3,4,4,4,4,4,4,5,4,3,5,4,3,4,3,3,3,3,1,
PE 16:0_18:2,C39 H74 N O8 P,715.5155,0.20,0,6.09,0.012,1353428,18,1,99.9,0.2,4,6,715.5154,715.5157,715.5155,715.5152,715.5154,715.5156,715.5156,715.5155,715.5154,715.5155,715.5153,715.5153,715.5155,715.5154,715.5152,715.5156,715.5156,715.5156,,6.094,6.091,6.091,6.097,6.093,6.088,6.085,6.094,6.089,6.091,6.097,6.095,6.092,6.090,6.092,6.096,6.096,6.095,,1264910,1889008,1496280,2122414,1058453,1113451,629733,1205830,817486,1060377,1765785,1483777,734308,952137,958060,1982444,1764323,2062933,,,,,,,,,,,,,,,,,,,,,99.75,99.50,99.58,99.91,99.74,99.37,99.09,99.75,99.52,99.64,99.90,99.82,99.63,99.57,99.73,99.72,99.73,99.77,,5,5,5,5,5,6,6,5,5,5,6,4,6,6,5,6,5,6,,
PC 16:0_18:2,C42 H80 N O8 P,757.5618,4.39,0,5.73,0.112,2425,19,0,59.8,38.2,0,2,757.5615,757.5590,757.5615,757.5596,757.5662,757.5609,757.5593,757.5630,757.5568,757.5576,757.5611,757.5682,757.5625,757.5598,757.5621,757.5643,757.5690,757.5605,,5.721,5.729,5.756,5.701,5.730,5.730,5.761,5.726,5.726,5.734,5.796,5.733,5.780,5.727,5.779,5.695,5.762,5.800,5.688,2584,2435,2373,3340,2180,2600,2543,2388,1816,2008,2955,2230,2515,2217,2664,2248,3233,2984,770,,,,,,,,,,,,,,,,,,,,47.14,37.06,47.10,44.29,30.96,45.69,38.60,59.76,22.90,37.52,46.36,18.79,47.43,41.51,47.61,42.20,14.39,44.32,0.00,1,2,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,0,
