Name,Condition,variable,value,FA
1,RT,17:1_22:0,0.652409019220644,17:1
2,RT,17:1_22:0,0.258226649724318,17:1
3,RT,17:1_22:0,0.937985162050077,17:1
4,RT,17:1_22:0,0.722652827600651,17:1
5,RT,17:1_22:0,0.714489935856005,17:1
6,RT,17:1_22:0,0.792279055338169,17:1
7,Cold,17:1_22:0,0.945375020279767,17:1
8,Cold,17:1_22:0,0.956699884221814,17:1
9,Cold,17:1_22:0,1.00371093808968,17:1
10,Cold,17:1_22:0,0.813533704551026,17:1
11,Cold,17:1_22:0,0.798868796827796,17:1
12,Cold,17:1_22:0,0.807449456077916,17:1
1,RT,18:1_20:0,1.02297422626133,18:1
2,RT,18:1_20:0,0.51923455145683,18:1
3,RT,18:1_20:0,1.31066980240192,18:1
4,RT,18:1_20:0,1.14480793404292,18:1
5,RT,18:1_20:0,1.03682570600658,18:1
6,RT,18:1_20:0,0.978289841741132,18:1
7,Cold,18:1_20:0,1.31353659292235,18:1
8,Cold,18:1_20:0,1.52701828911971,18:1
9,Cold,18:1_20:0,1.45480774057428,18:1
10,Cold,18:1_20:0,1.31767372236383,18:1
11,Cold,18:1_20:0,1.13278996611453,18:1
12,Cold,18:1_20:0,1.30811170031742,18:1
1,RT,18:1_22:0,5.09498762424053,18:1
2,RT,18:1_22:0,3.18211378948449,18:1
3,RT,18:1_22:0,6.45152494706109,18:1
4,RT,18:1_22:0,5.91524286572528,18:1
5,RT,18:1_22:0,5.60009399124738,18:1
6,RT,18:1_22:0,5.29785663454141,18:1
7,Cold,18:1_22:0,6.8990055611929,18:1
8,Cold,18:1_22:0,6.44580243759969,18:1
9,Cold,18:1_22:0,7.05383172753933,18:1
10,Cold,18:1_22:0,6.02524251763869,18:1
11,Cold,18:1_22:0,6.15373113321401,18:1
12,Cold,18:1_22:0,6.52762397342238,18:1
1,RT,18:1_22:1,0.827965681975289,18:1
2,RT,18:1_22:1,0.257612584134872,18:1
3,RT,18:1_22:1,0.926177280993541,18:1
4,RT,18:1_22:1,0.805064997832972,18:1
5,RT,18:1_22:1,0.49111889838461503,18:1
6,RT,18:1_22:1,0.575761892289155,18:1
7,Cold,18:1_22:1,0.741780640945409,18:1
8,Cold,18:1_22:1,1.08012732255474,18:1
9,Cold,18:1_22:1,0.607085703589588,18:1
