Name,Condition,variable,value,FA
1,RT,12:0_14:0_22:4,0.0655099012405374,12:0
2,RT,12:0_14:0_22:4,0.224157051186442,12:0
3,RT,12:0_14:0_22:4,0.141465102323721,12:0
4,RT,12:0_14:0_22:4,0.0570265073324477,12:0
5,RT,12:0_14:0_22:4,0.118535592013512,12:0
6,RT,12:0_14:0_22:4,0.0708442268523316,12:0
7,Cold,12:0_14:0_22:4,1.36390031058759,12:0
8,Cold,12:0_14:0_22:4,0.43441557286560095,12:0
9,Cold,12:0_14:0_22:4,2.11723631281212,12:0
10,Cold,12:0_14:0_22:4,0.902261500537325,12:0
11,Cold,12:0_14:0_22:4,1.20036182813632,12:0
12,Cold,12:0_14:0_22:4,1.62637174499376,12:0
1,RT,12:0_16:0_18:2,0.2359199127703,12:0
2,RT,12:0_16:0_18:2,0.43174795617104705,12:0
3,RT,12:0_16:0_18:2,0.349142177131785,12:0
4,RT,12:0_16:0_18:2,0.215220259662652,12:0
5,RT,12:0_16:0_18:2,0.234605922142721,12:0
6,RT,12:0_16:0_18:2,0.175468929187715,12:0
7,Cold,12:0_16:0_18:2,3.03856088374933,12:0
8,Cold,12:0_16:0_18:2,1.96865698447083,12:0
9,Cold,12:0_16:0_18:2,4.5526185859061,12:0
10,Cold,12:0_16:0_18:2,1.92475701086409,12:0
11,Cold,12:0_16:0_18:2,2.58614835221511,12:0
12,Cold,12:0_16:0_18:2,3.32608512460605,12:0
1,RT,12:0_16:1_18:2,0.130229351857485,12:0
2,RT,12:0_16:1_18:2,0.120856398250982,12:0
3,RT,12:0_16:1_18:2,0.120358408548956,12:0
4,RT,12:0_16:1_18:2,0.0680422724709777,12:0
5,RT,12:0_16:1_18:2,0.0564146179141873,12:0
6,RT,12:0_16:1_18:2,0,12:0
7,Cold,12:0_16:1_18:2,0.856872065783777,12:0
8,Cold,12:0_16:1_18:2,0.63446149247495,12:0
9,Cold,12:0_16:1_18:2,1.1488338742747,12:0
10,Cold,12:0_16:1_18:2,0.547718719883222,12:0
11,Cold,12:0_16:1_18:2,0.664045388600203,12:0
12,Cold,12:0_16:1_18:2,0.942786799426217,12:0
1,RT,12:0_18:2_18:2,0.2691014281544,12:0
2,RT,12:0_18:2_18:2,0.391270782033978,12:0
3,RT,12:0_18:2_18:2,0.380774806503316,12:0
4,RT,12:0_18:2_18:2,0.224811944429395,12:0
5,RT,12:0_18:2_18:2,0.301004850688338,12:0
6,RT,12:0_18:2_18:2,0.244485187371492,12:0
7,Cold,12:0_18:2_18:2,2.16520772348472,12:0
8,Cold,12:0_18:2_18:2,1.71715649850834,12:0
9,Cold,12:0_18:2_18:2,3.35565069035885,12:0
10,Cold,12:0_18:2_18:2,1.49725040121933,12:0
11,Cold,12:0_18:2_18:2,1.93612106298886,12:0
12,Cold,12:0_18:2_18:2,2.61998562478361,12:0
1,RT,12:0_18:2_18:3,0.0595554053535806,12:0
2,RT,12:0_18:2_18:3,0.0741588868278855,12:0
3,RT,12:0_18:2_18:3,0.0827866662105005,12:0
4,RT,12:0_18:2_18:3,0.0528376971883631,12:0
5,RT,12:0_18:2_18:3,0.064394090572058,12:0
6,RT,12:0_18:2_18:3,0.0454165080270003,12:0
7,Cold,12:0_18:2_18:3,0.385123565451344,12:0
8,Cold,12:0_18:2_18:3,0.443205986568572,12:0
9,Cold,12:0_18:2_18:3,0.759299956767652,12:0
10,Cold,12:0_18:2_18:3,0.338517784221622,12:0
11,Cold,12:0_18:2_18:3,0.471847187783132,12:0
12,Cold,12:0_18:2_18:3,0.504247444662975,12:0
1,RT,14:0_16:0_18:1,0.61798265471001,14:0
2,RT,14:0_16:0_18:1,0.642455455766937,14:0
3,RT,14:0_16:0_18:1,0.942669715755669,14:0
4,RT,14:0_16:0_18:1,0.515166109121519,14:0
5,RT,14:0_16:0_18:1,0.45304625201763504,14:0
6,RT,14:0_16:0_18:1,0.428833739406107,14:0
7,Cold,14:0_16:0_18:1,3.52509009816143,14:0
8,Cold,14:0_16:0_18:1,2.95551087799513,14:0
9,Cold,14:0_16:0_18:1,4.88063324016087,14:0
10,Cold,14:0_16:0_18:1,2.44525458887431,14:0
11,Cold,14:0_16:0_18:1,3.14053171546753,14:0
12,Cold,14:0_16:0_18:1,3.29921531812916,14:0
1,RT,14:0_16:0_18:2,0.911807428359962,14:0
2,RT,14:0_16:0_18:2,1.40357605460455,14:0
3,RT,14:0_16:0_18:2,1.49160822164325,14:0
4,RT,14:0_16:0_18:2,0.853018388840315,14:0
5,RT,14:0_16:0_18:2,0.894690667820366,14:0
6,RT,14:0_16:0_18:2,0.68147892751245,14:0
7,Cold,14:0_16:0_18:2,8.04391399128409,14:0
8,Cold,14:0_16:0_18:2,5.85813186171564,14:0
9,Cold,14:0_16:0_18:2,12.021797042695,14:0
10,Cold,14:0_16:0_18:2,5.48344499552588,14:0
11,Cold,14:0_16:0_18:2,7.359247528288,14:0
12,Cold,14:0_16:0_18:2,8.37187850372223,14:0
1,RT,15:0_16:0_18:1,0.294134686008981,15:0
2,RT,15:0_16:0_18:1,0.203272654306703,15:0
3,RT,15:0_16:0_18:1,0.407290661626419,15:0
4,RT,15:0_16:0_18:1,0.239070009727528,15:0
5,RT,15:0_16:0_18:1,0.232017397164203,15:0
6,RT,15:0_16:0_18:1,0.184740489077786,15:0
7,Cold,15:0_16:0_18:1,0.745075203260397,15:0
8,Cold,15:0_16:0_18:1,0.683968667972439,15:0
9,Cold,15:0_16:0_18:1,1.19345134754043,15:0
10,Cold,15:0_16:0_18:1,0.570817271283507,15:0
11,Cold,15:0_16:0_18:1,0.795180188329622,15:0
12,Cold,15:0_16:0_18:1,0.615885496175953,15:0
1,RT,15:0_18:1_18:2,1.75085161341358,15:0
2,RT,15:0_18:1_18:2,1.45422874949826,15:0
3,RT,15:0_18:1_18:2,2.42803273168678,15:0
4,RT,15:0_18:1_18:2,1.19155250097954,15:0
5,RT,15:0_18:1_18:2,1.16056191127225,15:0
