Name,Condition,variable,value,FA
1,Control_RT,18:0_22:0,3.5599318731758487,18:0
2,Control_RT,18:0_22:0,8.647543799334231,18:0
3,Control_RT,18:0_22:0,4.6977851130347075,18:0
4,KO_RT,18:0_22:0,1.2433403281193525,18:0
5,KO_RT,18:0_22:0,1.3547770748596328,18:0
6,KO_RT,18:0_22:0,1.866529264890898,18:0
7,Control_cold,18:0_22:0,8.654856720178199,18:0
8,Control_cold,18:0_22:0,1.999134422815496,18:0
9,Control_cold,18:0_22:0,4.408205917705638,18:0
10,Control_cold,18:0_22:0,3.8793650432571503,18:0
11,Control_cold,18:0_22:0,4.96647231599472,18:0
12,Control_cold,18:0_22:0,7.3197204430183875,18:0
13,KO_cold,18:0_22:0,0.4234046632138934,18:0
14,KO_cold,18:0_22:0,0.716061897801201,18:0
15,KO_cold,18:0_22:0,0.7179073241708674,18:0
16,KO_cold,18:0_22:0,1.7345860560316742,18:0
17,KO_cold,18:0_22:0,1.018933221058967,18:0
18,KO_cold,18:0_22:0,1.2568958277683309,18:0
1,Control_RT,18:0_24:1,1.403476971497916,18:0
2,Control_RT,18:0_24:1,4.714975992604152,18:0
3,Control_RT,18:0_24:1,2.0781236327821944,18:0
4,KO_RT,18:0_24:1,0.7667980592778748,18:0
5,KO_RT,18:0_24:1,1.079031287910302,18:0
6,KO_RT,18:0_24:1,1.401972099792793,18:0
7,Control_cold,18:0_24:1,3.5333463749229823,18:0
8,Control_cold,18:0_24:1,1.3605192300079167,18:0
9,Control_cold,18:0_24:1,1.5812170542449109,18:0
10,Control_cold,18:0_24:1,2.8858015157456323,18:0
11,Control_cold,18:0_24:1,4.2435070535898785,18:0
12,Control_cold,18:0_24:1,5.277657479019915,18:0
13,KO_cold,18:0_24:1,0.44939917124797146,18:0
14,KO_cold,18:0_24:1,0.5462073597315603,18:0
15,KO_cold,18:0_24:1,0.6138395809257596,18:0
16,KO_cold,18:0_24:1,1.580076709864147,18:0
17,KO_cold,18:0_24:1,0.7282759881286848,18:0
18,KO_cold,18:0_24:1,1.3510692166548537,18:0
1,Control_RT,18:0_22:0,5.609069826860835,18:0
2,Control_RT,18:0_22:0,9.292469643822256,18:0
3,Control_RT,18:0_22:0,5.31955078975989,18:0
4,KO_RT,18:0_22:0,2.3314094135052557,18:0
5,KO_RT,18:0_22:0,2.0969853331087003,18:0
6,KO_RT,18:0_22:0,3.686021770957092,18:0
7,Control_cold,18:0_22:0,7.378266214652092,18:0
8,Control_cold,18:0_22:0,3.148601338391279,18:0
9,Control_cold,18:0_22:0,9.222514196433202,18:0
10,Control_cold,18:0_22:0,4.616304187391064,18:0
11,Control_cold,18:0_22:0,3.412184953802705,18:0
12,Control_cold,18:0_22:0,4.823504754923532,18:0
13,KO_cold,18:0_22:0,1.1202103873979716,18:0
14,KO_cold,18:0_22:0,2.760782897964414,18:0
15,KO_cold,18:0_22:0,2.907492642047939,18:0
16,KO_cold,18:0_22:0,3.750981611362613,18:0
17,KO_cold,18:0_22:0,3.106058988233438,18:0
18,KO_cold,18:0_22:0,1.6969969638794509,18:0
1,Control_RT,18:0_24:0,3.808432183077548,18:0
2,Control_RT,18:0_24:0,5.0410191841550915,18:0
3,Control_RT,18:0_24:0,3.954191991885476,18:0
4,KO_RT,18:0_24:0,1.6104514824213014,18:0
5,KO_RT,18:0_24:0,1.7323182663288033,18:0
6,KO_RT,18:0_24:0,2.580381251759934,18:0
7,Control_cold,18:0_24:0,4.0174041556052105,18:0
8,Control_cold,18:0_24:0,2.1291216241372037,18:0
9,Control_cold,18:0_24:0,4.855153256078902,18:0
10,Control_cold,18:0_24:0,3.0553627347498953,18:0
11,Control_cold,18:0_24:0,2.9126177165205274,18:0
12,Control_cold,18:0_24:0,3.4168657739955357,18:0
13,KO_cold,18:0_24:0,1.0549182995711994,18:0
14,KO_cold,18:0_24:0,2.4643996621195456,18:0
15,KO_cold,18:0_24:0,2.279563889728995,18:0
16,KO_cold,18:0_24:0,3.622385782372029,18:0
17,KO_cold,18:0_24:0,2.585162037083101,18:0
18,KO_cold,18:0_24:0,1.529660982033279,18:0
1,Control_RT,18:0_24:1,4.0815626121907425,18:0
2,Control_RT,18:0_24:1,7.837448197486581,18:0
3,Control_RT,18:0_24:1,3.398539989268468,18:0
4,KO_RT,18:0_24:1,2.186671647037644,18:0
5,KO_RT,18:0_24:1,2.2191398185325077,18:0
6,KO_RT,18:0_24:1,3.19351923738078,18:0
7,Control_cold,18:0_24:1,4.238431961578177,18:0
8,Control_cold,18:0_24:1,2.1572215012502944,18:0
9,Control_cold,18:0_24:1,4.369473611596611,18:0
10,Control_cold,18:0_24:1,4.0665345426964725,18:0
11,Control_cold,18:0_24:1,3.39635359769165,18:0
