Name,Condition,variable,value,FA
1,Control_RT, 16:0,4.158341846007433, 16:0
2,Control_RT, 16:0,3.61976389435504, 16:0
3,Control_RT, 16:0,1.9362218934544404, 16:0
4,KO_RT, 16:0,2.0153415422073993, 16:0
5,KO_RT, 16:0,3.0204442587413967, 16:0
6,KO_RT, 16:0,1.2681071885505253, 16:0
7,Control_cold, 16:0,3.843404799726627, 16:0
8,Control_cold, 16:0,2.7036540474065296, 16:0
9,Control_cold, 16:0,2.59429365113494, 16:0
10,Control_cold, 16:0,3.015399971619362, 16:0
11,Control_cold, 16:0,1.7638111358728552, 16:0
12,Control_cold, 16:0,1.5235240288540906, 16:0
13,KO_cold, 16:0,1.6511830975947095, 16:0
14,KO_cold, 16:0,1.96718245309568, 16:0
15,KO_cold, 16:0,1.968332572970248, 16:0
16,KO_cold, 16:0,1.849463868138872, 16:0
17,KO_cold, 16:0,1.9761037637743848, 16:0
18,KO_cold, 16:0,1.193169659481702, 16:0
1,Control_RT, 18:0,4.440463558803271, 18:0
2,Control_RT, 18:0,2.5763581396188595, 18:0
3,Control_RT, 18:0,1.8849038183327984, 18:0
4,KO_RT, 18:0,2.4216280724166865, 18:0
5,KO_RT, 18:0,3.644559446462048, 18:0
6,KO_RT, 18:0,1.580877722541357, 18:0
7,Control_cold, 18:0,3.3416082555777504, 18:0
8,Control_cold, 18:0,2.6408541470590547, 18:0
9,Control_cold, 18:0,2.5481819385096913, 18:0
10,Control_cold, 18:0,3.151961897547624, 18:0
11,Control_cold, 18:0,1.8442931680692851, 18:0
12,Control_cold, 18:0,1.5169591294567268, 18:0
13,KO_cold, 18:0,2.139045790795688, 18:0
14,KO_cold, 18:0,2.3200373466649005, 18:0
15,KO_cold, 18:0,2.56998050190609, 18:0
16,KO_cold, 18:0,2.094006025176294, 18:0
17,KO_cold, 18:0,2.313804341667677, 18:0
18,KO_cold, 18:0,1.59602381142668, 18:0
1,Control_RT, 18:1,1.1407575986616316, 18:1
2,Control_RT, 18:1,3.54662951719505, 18:1
3,Control_RT, 18:1,0.570899742915599, 18:1
4,KO_RT, 18:1,0.6966528240859564, 18:1
5,KO_RT, 18:1,0.8061768731427259, 18:1
6,KO_RT, 18:1,0.5379496245885945, 18:1
7,Control_cold, 18:1,1.6733585345250588, 18:1
8,Control_cold, 18:1,1.853748013509328, 18:1
9,Control_cold, 18:1,2.0015222589019093, 18:1
10,Control_cold, 18:1,2.9891913465534685, 18:1
11,Control_cold, 18:1,1.2501579842158446, 18:1
12,Control_cold, 18:1,1.3807592050389044, 18:1
13,KO_cold, 18:1,1.7857322030426486, 18:1
14,KO_cold, 18:1,1.2935212207305284, 18:1
15,KO_cold, 18:1,0.8062475873180919, 18:1
16,KO_cold, 18:1,1.7078498404253653, 18:1
17,KO_cold, 18:1,1.104705377539973, 18:1
18,KO_cold, 18:1,0.5691312142937771, 18:1
1,Control_RT, 18:2,0.7374051199485406, 18:2
2,Control_RT, 18:2,3.1694988782398617, 18:2
3,Control_RT, 18:2,0.4443210638822871, 18:2
4,KO_RT, 18:2,0.3582925632206289, 18:2
5,KO_RT, 18:2,0.36268521386229224, 18:2
6,KO_RT, 18:2,0.28963607981678646, 18:2
7,Control_cold, 18:2,1.516806719945745, 18:2
8,Control_cold, 18:2,1.5416613636668952, 18:2
9,Control_cold, 18:2,1.9250042090406043, 18:2
10,Control_cold, 18:2,2.852356887262303, 18:2
11,Control_cold, 18:2,1.057532777831695, 18:2
12,Control_cold, 18:2,1.091686250780153, 18:2
13,KO_cold, 18:2,0.9444320152075266, 18:2
14,KO_cold, 18:2,0.8342400730595386, 18:2
15,KO_cold, 18:2,0.4420927122819136, 18:2
16,KO_cold, 18:2,0.7396481819681209, 18:2
17,KO_cold, 18:2,0.6595923256763899, 18:2
18,KO_cold, 18:2,0.27450933775235586, 18:2
1,Control_RT, 20:1,0.06325236307573665, 20:1
2,Control_RT, 20:1,0.15939494025246012, 20:1
3,Control_RT, 20:1,0.0302327028662241, 20:1
4,KO_RT, 20:1,0.0236896880130282, 20:1
5,KO_RT, 20:1,0.02402171583759543, 20:1
6,KO_RT, 20:1,0.02075234805073346, 20:1
7,Control_cold, 20:1,0.07934209444910745, 20:1
8,Control_cold, 20:1,0.09374595346139572, 20:1
9,Control_cold, 20:1,0.1268452556869481, 20:1
10,Control_cold, 20:1,0.17800970820317957, 20:1
11,Control_cold, 20:1,0.07710634402321348, 20:1
12,Control_cold, 20:1,0.08734359529340213, 20:1
13,KO_cold, 20:1,0.10733089389871392, 20:1
14,KO_cold, 20:1,0.08488742558397158, 20:1
15,KO_cold, 20:1,0.0601562358187878, 20:1
16,KO_cold, 20:1,0.10572335319599609, 20:1
17,KO_cold, 20:1,0.10298784513478396, 20:1
18,KO_cold, 20:1,0.04108321256646405, 20:1
1,Control_RT, 14:0,0.00761995782883441, 14:0
2,Control_RT, 14:0,0.00572132241321152, 14:0
3,Control_RT, 14:0,0.00475707874954129, 14:0
4,KO_RT, 14:0,0.00432390254261747, 14:0
5,KO_RT, 14:0,0.00757290093257839, 14:0
6,KO_RT, 14:0,0.00983975185449387, 14:0
7,Control_cold, 14:0,0.00743294786503945, 14:0
8,Control_cold, 14:0,0.00787275847763784, 14:0
9,Control_cold, 14:0,0.00973350056645665, 14:0
10,Control_cold, 14:0,0.01177868778870971, 14:0
11,Control_cold, 14:0,0.01072851909442041, 14:0
12,Control_cold, 14:0,0.00986873503429795, 14:0
13,KO_cold, 14:0,0.00551114076578674, 14:0
14,KO_cold, 14:0,0.01544605820536816, 14:0
15,KO_cold, 14:0,0.01840517232530083, 14:0
16,KO_cold, 14:0,0.01250937896946095, 14:0
17,KO_cold, 14:0,0.0108913770068389, 14:0
18,KO_cold, 14:0,0.0154715995492361, 14:0
1,Control_RT, 16:0,0.00623031262699188, 16:0
2,Control_RT, 16:0,0.00993763261528982, 16:0
3,Control_RT, 16:0,0.00892565291151048, 16:0
