Name,Condition,variable,value,FA
1,Control_RT,16:0_0:0,0.15988476804159846,16:0
2,Control_RT,16:0_0:0,0.20027188958508793,16:0
3,Control_RT,16:0_0:0,0.14516174037618035,16:0
4,KO_RT,16:0_0:0,0.05560173269591207,16:0
5,KO_RT,16:0_0:0,0.07363197895331504,16:0
6,KO_RT,16:0_0:0,0.07310973220064129,16:0
7,Control_cold,16:0_0:0,0.2293362157464592,16:0
8,Control_cold,16:0_0:0,0.11979648652980196,16:0
9,Control_cold,16:0_0:0,0.18777842453713892,16:0
10,Control_cold,16:0_0:0,0.16470097506740164,16:0
11,Control_cold,16:0_0:0,0.0977156367972196,16:0
12,Control_cold,16:0_0:0,0.12933579158744724,16:0
13,KO_cold,16:0_0:0,0.06177817042027408,16:0
14,KO_cold,16:0_0:0,0.06795374138661123,16:0
15,KO_cold,16:0_0:0,0.05687032249218517,16:0
16,KO_cold,16:0_0:0,0.11825905924822576,16:0
17,KO_cold,16:0_0:0,0.072525122184924,16:0
18,KO_cold,16:0_0:0,0.06813733661609535,16:0
1,Control_RT,18:0_0:0,0.1087911665116178,18:0
2,Control_RT,18:0_0:0,0.10636652464581756,18:0
3,Control_RT,18:0_0:0,0.09431875839153532,18:0
4,KO_RT,18:0_0:0,0.04480821634891812,18:0
5,KO_RT,18:0_0:0,0.05208761316416245,18:0
6,KO_RT,18:0_0:0,0.05313888913397513,18:0
7,Control_cold,18:0_0:0,0.14722012721385988,18:0
8,Control_cold,18:0_0:0,0.0879539512008092,18:0
9,Control_cold,18:0_0:0,0.1548161207509329,18:0
10,Control_cold,18:0_0:0,0.12206350289657524,18:0
11,Control_cold,18:0_0:0,0.06670631023342309,18:0
12,Control_cold,18:0_0:0,0.09466026022317414,18:0
13,KO_cold,18:0_0:0,0.06700927354552287,18:0
14,KO_cold,18:0_0:0,0.06589549054783785,18:0
15,KO_cold,18:0_0:0,0.05141050178407382,18:0
16,KO_cold,18:0_0:0,0.08538408279770764,18:0
17,KO_cold,18:0_0:0,0.05169810604704893,18:0
18,KO_cold,18:0_0:0,0.06198476440661258,18:0
1,Control_RT,18:1_0:0,0.01929129819476262,18:1
2,Control_RT,18:1_0:0,0.02099620060144258,18:1
3,Control_RT,18:1_0:0,0.01454369207620358,18:1
4,KO_RT,18:1_0:0,0.00911673536098361,18:1
5,KO_RT,18:1_0:0,0.00766726729933949,18:1
6,KO_RT,18:1_0:0,0.00941918939461937,18:1
7,Control_cold,18:1_0:0,0.01791585278409468,18:1
8,Control_cold,18:1_0:0,0.01150348430911641,18:1
9,Control_cold,18:1_0:0,0.01648223411464697,18:1
10,Control_cold,18:1_0:0,0.01503706874831209,18:1
11,Control_cold,18:1_0:0,0.00978105985433782,18:1
12,Control_cold,18:1_0:0,0.01117103766110388,18:1
13,KO_cold,18:1_0:0,0.00892946689795324,18:1
14,KO_cold,18:1_0:0,0.00912447505596354,18:1
15,KO_cold,18:1_0:0,0.00668925301958157,18:1
16,KO_cold,18:1_0:0,0.01903098995866905,18:1
17,KO_cold,18:1_0:0,0.01001885641309816,18:1
18,KO_cold,18:1_0:0,0.01104980421939084,18:1
1,Control_RT,22:6_0:0,0.1212659256521488,22:6
2,Control_RT,22:6_0:0,0.10499009870661372,22:6
3,Control_RT,22:6_0:0,0.0801554224709634,22:6
4,KO_RT,22:6_0:0,0.02993337347400911,22:6
5,KO_RT,22:6_0:0,0.04849285573202147,22:6
6,KO_RT,22:6_0:0,0.02882348409207207,22:6
7,Control_cold,22:6_0:0,0.09449083700629989,22:6
8,Control_cold,22:6_0:0,0.06369148385782876,22:6
9,Control_cold,22:6_0:0,0.09783901005535564,22:6
