Name,Condition,variable,value,FA
1,Control_RT,12:0_14:0_18:2,0.00145987396243728,12:0
2,Control_RT,12:0_14:0_18:2,0.00191146073281997,12:0
3,Control_RT,12:0_14:0_18:2,0.00200208795957392,12:0
4,KO_RT,12:0_14:0_18:2,0.00160691284506344,12:0
5,KO_RT,12:0_14:0_18:2,0.00261341963850016,12:0
6,KO_RT,12:0_14:0_18:2,0.00188113447083997,12:0
7,Control_cold,12:0_14:0_18:2,0.03515652435305744,12:0
8,Control_cold,12:0_14:0_18:2,0.02637714242236551,12:0
9,Control_cold,12:0_14:0_18:2,0.02003025766953848,12:0
10,Control_cold,12:0_14:0_18:2,0.0390405858658805,12:0
11,Control_cold,12:0_14:0_18:2,0.02509615646274982,12:0
12,Control_cold,12:0_14:0_18:2,0.02105411367960234,12:0
13,KO_cold,12:0_14:0_18:2,0.00623574474079577,12:0
14,KO_cold,12:0_14:0_18:2,0.0067313567939941,12:0
15,KO_cold,12:0_14:0_18:2,0.00207663092881109,12:0
16,KO_cold,12:0_14:0_18:2,0.01090534478353799,12:0
17,KO_cold,12:0_14:0_18:2,0.00522379429333731,12:0
18,KO_cold,12:0_14:0_18:2,0.0066687765071385,12:0
1,Control_RT,12:0_16:0_18:2,0.00348386058127283,12:0
2,Control_RT,12:0_16:0_18:2,0.0040136488690121,12:0
3,Control_RT,12:0_16:0_18:2,0.00374496790190985,12:0
4,KO_RT,12:0_16:0_18:2,0.00645750659158282,12:0
5,KO_RT,12:0_16:0_18:2,0.01007258873739296,12:0
6,KO_RT,12:0_16:0_18:2,0.00922901999830279,12:0
7,Control_cold,12:0_16:0_18:2,0.17124774179049107,12:0
8,Control_cold,12:0_16:0_18:2,0.13269743159075453,12:0
9,Control_cold,12:0_16:0_18:2,0.10464482056496822,12:0
10,Control_cold,12:0_16:0_18:2,0.21217108415456823,12:0
11,Control_cold,12:0_16:0_18:2,0.14263735774156688,12:0
12,Control_cold,12:0_16:0_18:2,0.12952580379213355,12:0
13,KO_cold,12:0_16:0_18:2,0.02956899996077623,12:0
14,KO_cold,12:0_16:0_18:2,0.0272325224723467,12:0
15,KO_cold,12:0_16:0_18:2,0.00803111974993571,12:0
16,KO_cold,12:0_16:0_18:2,0.05344507747040202,12:0
17,KO_cold,12:0_16:0_18:2,0.02165822550304633,12:0
18,KO_cold,12:0_16:0_18:2,0.02719764732927726,12:0
1,Control_RT,12:0_16:0_18:2,0.00351795530226394,12:0
2,Control_RT,12:0_16:0_18:2,0.00281997443717563,12:0
3,Control_RT,12:0_16:0_18:2,0.00285077693120127,12:0
4,KO_RT,12:0_16:0_18:2,0.00311196673382778,12:0
5,KO_RT,12:0_16:0_18:2,0.01002380056741473,12:0
6,KO_RT,12:0_16:0_18:2,0.0096405773636502,12:0
7,Control_cold,12:0_16:0_18:2,0.17162225704002837,12:0
