Name,genotype,treatment,weight,TG 18:1_18:2_18:2,TG 16:0_18:1_18:2,TG 54:4,TG 16:0_18:1_18:1,TG 16:1_18:1_18:2,TG 18:0_18:1_18:2,PC 16:0_18:2,PC 16:0_22:6,TG 16:0_16:0_18:2,TG 54:2,TG 16:0_16:1_18:2,PC 18:0_18:2,PC 16:0_20:4,TG 16:0_16:0_18:1,TG 16:1_18:2_18:2,TG 16:0_18:0_18:1,TG 16:0_18:1_22:6,PC 16:0_18:1,PC 18:0_20:4,TG 54:6,PC 18:1_18:2,TG 18:2_18:2_18:3,TG 18:1_18:2_22:6,PC 18:0_22:6,PC 18:2_18:2,PE 16:0_22:6,TG 54:7,TG 18:0_18:0_18:1,TG 14:0_18:2_18:2,TG 16:0_16:0_22:6,TG 14:0_16:0_18:2,TG 54:6.1,TG 56:2,TG 56:7,TG 18:2_18:2_22:6,TG 16:0_16:2_18:2,TG 48:1,TG 56:7.1,PC 16:0_22:5,TG 16:1_18:2_18:3,PE 18:0_22:6,PE 18:0_20:4,TG 16:0_18:2_20:5,TG 53:2,TG 51:3,TG 56:5,TG 16:0_16:1_22:6,PC 16:1_18:2,TG 56:6,TG 17:0_18:1_18:2,TG 56:3,PC 16:0_20:3,TG 56:4,PC 18:1_22:6,TG 53:3,PC 16:0_16:0,TG 56:9,TG 18:1_18:2_19:0,TG 50:4,PC 18:1_18:1,TG 17:1_18:1_18:2,TG 56:8,TG 58:8,PE 18:0_18:2,TG 54:7.1,SM d40:1,TG 17:0_18:2_18:2,TG 14:0_16:1_18:2,TG 16:0_16:0_16:0,TG 51:2,TG 53:4,PE 18:1_22:6,PC 15:0_18:1(d7),TG 56:6.1,TG 18:0_18:1_22:6,SM d42:2,PC 18:0_18:1,TG 51:4,PC 16:0_20:5,TG 58:11,PE 16:0_18:2,TG 56:5.1,PE 16:0_20:4,PC 16:0_16:1,TG 54:8,SM d34:1,TG 17:1_18:2_18:2,PC 16:1_18:2.1,TG 16:0_17:0_18:1,TG 58:8.1,PC 18:0_20:3,TG 55:4,PC 18:2_18:3,TG 60:12,PC 18:2_22:6,PC 18:2_20:4,TG 16:1_16:2_18:2,TG 49:2,TG 50:1,PC 16:0_18:3,PC 17:0_18:2,SM d42:1,TG 56:9.1,TG 52:7,PE 38:5,TG 58:6,TG 14:1_16:0_18:2,LPC 16:0/0:0,TG 16:0_16:3_18:2,PC 16:1_22:6,TG 12:0_16:0_18:2,SM d18:1_18:0,TG 48:4,TG 54:8.1,TG 56:10,TG 52:4,PC 18:0_22:5,TG 58:5,PC 32:2,TG 52:1,PE 18:1_18:2,TG 15:0_16:0_18:1,TG 60:7,PC 15:0_18:2,TG 56:8.1,PC 18:1_20:5,TG 56:10.1,TG 62:14,PC 17:0_22:6,SM d41:1,PC 18:0_20:5,LPC 18:0/0:0,PE 18:1_18:2.1,TG 49:2.1,PC 38:3,TG 50:6,TG 56:4.1,TG 60:13,PE 18:2_18:2,PC 16:1_20:4,DG 18:2_18:2,TG 52:7.1,DG 18:1_18:2,PC 17:0_20:4,SM d38:1,PC 17:1_18:2,PC 17:0_18:2.1,SM d42:3,TG 48:4.1,SM d18:1_18:1(d9),PC 20:0_18:2,TG 14:2_16:0_18:2,PC 38:4,PC 19:0_18:2,TG 54:9,LPC 0:0/18:2,PE 18:0_20:5,PC 16:0_17:1,PC 16:0_18:0,TG 58:12,TG 48:5,ACar 16:0,PC 38:4.1,DG 16:0_18:2,PE 16:1_18:2,ACar 18:1,PE 18:0_22:5,PC 15:0_22:6,SM d42:1.1,TG 46:3,PC 35:1,PC 14:0_16:0,DG 18:2_22:6,TG 14:2_18:2_18:2,PE 18:2_22:6,TG 12:0_14:0_18:2,TG 12:0_16:0_18:2.1,LPC 18:1/0:0(d7),TG 12:1_16:0_18:2,PC 15:0_20:4,PC 14:0_22:6,TG 12:1_16:0_18:2.1,TG 52:8,PC 38:2,SM d40:2,PC 18:2_22:5,ACar 18:2,PE 18:0_20:3,PE 38:7,PC 16:1_18:3,PE 34:1,TG 50:6.1,SM d39:1,PE 36:5,ACar 18:0,SM d40:2.1,PE 39:6,PE 36:2,TG 46:4,TG 54:9.1,PC 20:0_20:4,TG 50:7,TG 52:8.1,PC 39:4,PC 34:4,PC 20:4_22:6,LPC 0:0/22:6,PC 42:6,PE 36:1,TG 50:7.1,PE 38:6,PC 39:7,PC 40:6,LPC 0:0/20:4,PC 40:9,LPC 0:0/18:1,PC 18:0_22:6.1,LPC 18:1/0:0,PE 38:6.1,ACar 14:0,ACar 20:1,PC 36:6,PC 34:4.1,LPC 0:0/16:0,ACar 20:2,PE 36:3,TG 15:0_18:1(d7)_15:0,PE 15:0_18:1(d7)
1,Control,RT,8.6,792870,2230748,721699,1238797,1768839,533161,8070756,3147582,207271,276713,183236,1981421,1683710,201675,133374,142599,323825,1158632,733161,331530,600173,96057,293177,569341,471241,1407310,96101,70581,40788,49230,19054,67209,78202,326810,179387,40767,16743,145105,298563,30037,587284,1243186,105079,36140,48336,90844,43530,164556,76608,40634,182310,422558,188109,306807,40634,163780,39383,25845,33157,95739,30774,50345,101076,196397,104873,149844,28652,8910,29011,21945,28536,282902,115610,19647,29881,110531,91330,26843,260154,34832,79011,50604,4937356,74352,15816,56652,21399,48591,14309,46144,159655,11417,71297,24277,99372,112359,5349,9685,6028,66891,85566,101687,33379,4802,263395,NA,7739,38083,1746,49046,4496,10370,2592,29397,10891,18376,43016,45761,21582,15197,64232,8351,14567,48197,27118,56981,10925,40814,38502,46612,85456,25913,64206,7448,45818,1610,20547,13988,13370,29186,77210,4833,92859,31773,14042,24679,23821,13778,5545,19183,59808,1558,36746,39092,2435,19843,50050,21344,16499,12986,6638,1484,55524,79231,6648,2815,28378,22300,14672,2156,14016,8799,64780,2228,78752,1884,4540,12236,2988,23254,6555,2147,5588,21028,9425,13710,2229,23959,26866,2954,8169,5958,11659,63020,1401,9816,23790,20879,3146,6859,16655,37270,5486,15573,11562,13925,8727,21057,12893,6976,28461,9596,16973,4889,7081,4486,12460,4595,38142,1815,NA,18238,12732,1901,4859,715185,97532,11483
2,Control,RT,13,1782703,3461947,1382595,1638980,3155259,786314,13847244,5535523,346102,346502,349164,3057453,3786063,298433,268408,161744,370121,2058914,1225645,783203,1069864,206901,464286,773377,1078417,3081966,206901,78689,92356,78091,35095,108732,85720,369430,325222,92308,31262,233729,569943,60447,988396,1920548,126648,46590,66833,151827,47833,319906,114894,57944,227915,628598,304724,436110,57944,262824,67811,30992,69020,171199,39592,91325,145558,259013,126648,228082,40720,17831,43790,24759,40698,553183,138258,28823,33854,185989,137592,42974,370452,53889,147579,69097,7982241,138625,25134,87791,32222,93352,22350,82774,199193,23849,157747,27034,185259,211457,14866,11465,12474,160183,115801,145421,44394,8095,389012,13309,13419,70394,13258,81585,8628,12292,13101,44846,5466,21846,69419,60799,44052,26613,89706,10379,15614,71390,39430,102413,9408,53043,53837,63441,112772,37387,89676,11465,70727,3575,36238,18427,40352,51085,374384,5360,379954,45467,19744,42269,38314,22078,11175,21430,81301,7510,55797,56252,4530,39599,69846,33129,25280,20667,9194,3493,70019,246703,15280,6095,42757,30165,23542,2711,26390,15431,228242,3575,142285,4109,6062,11945,5294,46421,13611,2711,8314,26826,12020,19994,3727,34992,47013,8738,14107,6816,16082,118409,3493,9220,35147,27614,2062,4496,22845,51759,6021,22157,17627,26036,14609,26669,16016,7635,674879,11715,22177,11832,10711,7808,18874,7380,54081,2011,2442,18534,15578,3450,5329,1256672,107475,12140
3,Control,RT,11.7,1324524,3755971,1093096,1830618,3287228,811755,10681957,4528474,418281,430653,337131,2880332,2278000,354722,195148,224754,628453,1443414,1082917,571526,588454,166149,524156,921390,533013,1931765,166149,103148,79700,96082,35031,128596,113586,628453,369948,80211,33499,281202,346295,47122,909350,1812048,210149,46712,67996,132450,76381,170682,137159,64463,282162,505613,272675,319863,64463,193818,53452,34437,54462,95952,47258,113479,181401,261585,210149,210230,47258,14195,40319,25342,47258,295483,132334,36949,52693,130644,127135,41466,315668,69699,121567,73029,6466156,90405,24250,79271,28773,67927,25567,76759,210929,13852,89575,54989,128568,126888,13751,14684,14447,137797,101186,138990,63250,6967,307980,15530,11715,53279,10721,47374,7325,9407,12388,53039,12334,21071,55119,59985,29068,22621,41383,9369,17335,53012,33347,64408,16082,82567,53549,59497,112745,34618,41383,14812,35624,3006,17828,30633,25015,19266,88290,6139,87036,37462,16162,20243,26975,17310,10892,21325,82779,6567,38811,46217,4911,19770,83398,22388,18617,21106,7777,3276,54977,90381,8252,4762,31435,22862,17434,3663,18397,9585,82297,3015,85447,3916,5576,13859,4340,27994,10006,3663,7722,24171,12060,15227,2585,29215,25277,4918,8416,7236,12073,98607,3603,11088,28269,22254,1439,2773,21975,74298,6077,18090,13717,14509,7294,31339,13723,6766,339001,8788,17411,5896,8519,3940,14565,5338,42067,1746,2619,16695,13536,2368,5175,885282,108656,12278
4,HNF4a KO,RT,13.4,12510089,11787722,13181002,8009605,7716221,12645610,7760765,5412480,1361656,8413261,1318762,2070653,1457484,1203912,861265,2519122,1749288,1672527,873847,4492613,1060858,614096,1475132,1080425,522603,1563188,614096,1850828,299591,513858,131600,283200,1160882,1749288,758013,299591,129630,1047749,376676,188481,885942,1296921,141195,404895,143963,1955085,284119,317090,844873,362701,2680205,163475,3648432,327505,362701,237989,192181,266340,173230,280245,183656,329746,858157,207571,141195,147565,181329,54506,65907,87539,184141,343551,137831,534689,533421,152946,206105,53906,82315,83992,44637,625125,4752268,115830,45085,120063,73245,69667,105233,676069,41729,157140,76158,236086,82155,52301,35508,25456,39811,32681,73169,65648,121959,12723,662117,221262,15809,27390,38380,111137,14708,134172,13978,96783,17753,47097,58694,391957,72719,60454,39386,20076,251616,36676,62897,33249,29616,85280,53369,32697,44116,22073,39453,25456,31779,2542,324786,23165,14042,37044,75622,4999,107111,18786,42910,17225,19033,39152,7838,25074,19929,4276,37769,5618,4808,9259,36985,15902,28604,16309,8644,4103,25841,56089,6390,7108,32135,28144,8722,3392,24792,23714,27156,2542,40981,3660,7088,16241,9071,19124,26818,3255,8041,24774,12993,15864,1805,17544,21162,8901,6780,7882,7504,26482,6444,8099,17765,23272,1822,6465,1826,68358,6881,2215,14689,4885,5458,7745,15534,7308,325181,9162,14733,3568,6754,3507,15030,4491,26705,2130,1691,15004,11251,1935,5953,1018647,110475,11352
5,HNF4a KO,RT,11.7,15052715,14727949,14669958,9540091,10668098,13672825,8149764,4865171,2121579,8453087,1881057,1889218,1700459,1745093,1246008,3175052,2671996,1563287,781670,6211735,939470,812973,1910104,892607,476742,1857787,812973,1792004,375382,884629,192818,422798,855452,2671996,911027,375382,187384,1507447,367433,271130,832169,1172919,277723,400391,187638,2211698,495356,319573,1192127,399592,2207624,162143,3395756,293629,399592,204959,242359,215254,232925,220205,216142,375785,668453,238600,277732,107344,215297,71543,91727,113981,216142,346717,142512,825936,684474,122912,164414,78311,67582,91810,63606,782098,4955686,109871,53208,132907,101478,65048,117324,907951,34975,154840,65573,308124,76142,43461,32132,27278,57222,38471,65588,41035,180690,20324,584065,282727,19103,28090,17816,102789,18581,207274,15664,109322,21835,73292,42142,321419,62816,96932,40901,27643,281838,30190,77938,19063,33584,95656,40799,19199,31991,19871,42194,30831,23971,5812,336497,24424,15985,38131,81459,12666,105615,16546,44107,14874,17900,44149,9892,25468,17555,9892,29451,4464,5450,10402,35843,12197,18533,16774,10370,12128,23768,64777,8532,16069,35357,21273,7189,4939,17886,23112,29366,3848,38392,4821,18491,14405,9164,20354,20349,4939,8936,20368,7783,16064,6601,16364,35858,5688,7594,10956,5024,30024,11917,5683,18642,23946,1245,11255,1470,69303,7360,2048,12527,4193,4612,4841,15403,7491,293043,6083,13049,3097,4792,3890,12467,2925,24251,2889,3043,14415,13498,2664,4897,940880,102476,10625
6,HNF4a KO,RT,13.2,14311678,14543782,14000512,9278927,10090844,13820247,8661127,5539891,1952701,8820316,1695546,2014932,1971742,1688617,1045332,3293720,1434901,1646040,903660,5703800,1012951,737277,920914,948320,516294,2031789,737277,2131698,394341,484336,184495,328285,1111881,1309837,529024,394341,180141,919658,387130,236490,918614,1257158,242658,426005,188100,1973211,218002,289631,674734,407085,2478939,161056,3432981,325116,407085,233199,176307,262612,223216,225334,215474,270974,528274,235320,242647,174890,216935,69045,98986,105917,215474,385081,130227,440628,345450,144249,182483,83896,91154,52299,61532,510630,5290796,110797,44888,131653,87924,67112,133880,435450,24012,152952,57805,173009,76790,47589,45996,30412,54984,46520,73258,75287,101339,20315,629999,166413,20760,31117,46060,103160,19487,141040,15732,84091,16988,57161,45315,314644,71705,88455,40013,19060,134140,37374,53272,24240,22209,45249,47168,36500,40285,22617,42855,30412,10550,2658,295347,15060,20272,35828,79681,5090,106141,23469,41708,16918,17122,41117,10928,23225,17271,3698,30940,NA,4401,8756,39628,14979,25204,17210,11403,12223,21836,67935,5469,15594,29923,28237,8338,1329,23604,23500,17978,2658,37477,3972,20356,14245,9268,23111,25716,1329,7957,24890,14378,12694,5509,17059,35177,9108,9705,10463,7275,27944,11632,7770,20329,25333,2038,6694,2724,69336,10503,1840,16906,NA,5317,7581,14357,7040,322094,6865,12982,4262,6670,4109,14374,4009,28404,4188,3069,14311,11637,1433,6648,996384,103967,11066
7,Control,cold,11.3,17089961,20571280,13375417,14329925,21008102,8509508,13551654,4574665,10638066,3475442,10287592,3890364,3433745,5571236,5949048,2343602,3718373,1771353,1553671,11471894,912840,4416992,3010682,1085675,845026,2806540,4416992,634618,2207182,1477578,2008916,1991348,770977,3810373,1985049,1765916,1131612,2945151,432680,1813236,1345131,2418331,2074182,507490,927351,1860159,1022009,369493,1362131,703154,2018595,425997,2792354,240089,703154,236146,997948,347489,1832646,151915,503123,1271787,1162924,406761,2075558,295405,505316,691954,367374,383179,479803,423890,147775,423099,402674,137025,157566,472283,138406,580850,208487,693306,7725018,145243,607634,98959,383954,93326,241908,900181,177553,235278,186883,307105,101690,115096,532632,275668,209839,141267,84806,157433,574321,250164,267974,162755,242968,75870,315799,64923,332422,15574,209153,465026,234282,251709,85905,369916,54375,163122,100848,108682,91587,55477,342668,114879,180418,116713,42827,55790,62289,48704,100848,275668,46909,130770,198596,102692,43930,47227,272487,112341,261595,39161,23832,19779,14544,21734,169499,23549,54576,144757,28918,34618,91566,38054,61297,22496,23245,92522,81233,5453,29718,264091,22980,6200,45864,18238,17984,77887,17208,14127,87411,130770,83694,68245,333149,12934,84023,32874,12432,77887,62121,22669,20264,19090,4004,30430,46379,14267,15998,96399,16150,105891,5229,12877,32676,29481,26879,39726,18419,88152,39925,13995,13564,8835,10566,22096,20572,37086,535749,6255,15277,9675,7374,7469,12217,5927,42703,2459,2712,14434,16942,3611,5079,1087910,111652,10780
8,Control,cold,13.6,16912839,20534497,13414599,13739618,21063447,7485622,10325407,4082289,9705765,2567455,10255660,2370138,2904701,5064149,6130345,1616007,3475309,1346609,1271388,10707401,708968,3419261,2772350,885775,600261,2325238,3419261,339542,2108097,1497383,1794375,2166647,426754,3476399,1734580,1654406,1069771,2756476,383500,1677045,1056527,1485650,1882812,412569,859570,1998433,1030788,305844,1338764,569171,1383552,409706,2342406,214074,569171,191679,885420,265833,1721871,116105,513970,1408523,1127668,289260,1906759,195174,513970,683800,307690,375060,513970,379322,141237,306012,314854,138706,117855,430891,116281,396156,152020,540299,6239318,123219,428296,84226,369920,87066,184520,877492,147577,210378,107954,295677,91502,93120,472352,250031,184958,120176,64048,127502,483416,238651,250047,181271,215649,54871,296344,67577,283796,16685,194429,430056,183602,251062,74432,253422,43499,153495,78616,108694,57341,44106,298595,92972,121841,102895,28261,27119,49252,40286,97372,249942,32929,117025,150515,97159,39785,44633,186944,154796,186826,34275,17977,20875,26417,24776,141064,22816,33034,112814,26295,27922,76086,23192,51857,19096,19188,82504,73892,6849,29289,165793,24092,9764,36444,17985,14887,74132,18329,10512,64115,116544,66673,56412,283927,14879,82665,27896,10662,74132,62713,21321,11793,15638,5035,28233,44677,7278,15285,97075,8884,84440,4633,11681,24153,26292,22793,49096,12001,65342,41381,12069,15487,9933,8267,18951,19138,37680,378277,7170,16972,9168,5410,5453,13561,5269,36122,3606,1399,13221,14659,2222,5590,829242,102208,10111
9,Control,cold,13.2,16270733,19573937,11672591,9441432,20521608,7451573,13327572,5627496,9639950,2870121,6468138,4275208,3706030,4462264,3784653,1967166,3181187,1526632,1952539,10844728,1004552,2984297,3494108,1367254,1126420,3012389,2984297,513943,1652631,1511874,1535892,1644355,652962,3184230,2698966,1203447,750368,2397719,453356,1135226,1646430,2651280,1396256,380369,630783,1455167,753838,317030,956270,532014,1806932,471047,2365071,268745,532014,262310,892088,291255,1256229,154571,358102,949806,1145892,429572,1396256,380042,410143,448358,320465,254854,356324,461563,159456,420439,414769,162327,158579,362746,184269,533175,211352,589464,7707043,112230,327978,119164,278069,104262,199185,874043,213298,175312,174386,372406,143941,148195,341057,253102,163019,150818,112430,225125,466479,174700,300308,183719,164505,86756,232368,59995,243172,25851,169119,414917,104804,216587,95027,328604,58204,138975,112944,89369,72033,61322,278579,151220,118631,238015,56375,66643,85188,71527,113909,251092,47198,96764,180007,141363,64395,29191,238890,116586,212213,40049,32839,26477,24690,24696,110750,26405,64677,88305,35695,43581,53450,44867,75666,22032,26836,97649,57801,18814,34939,202083,25816,14161,46542,22857,18708,48695,19581,14889,110889,96759,112512,46546,243172,15463,62398,41093,17232,48695,52271,22195,23082,17680,12073,34661,35002,8022,15199,75268,16546,113503,8674,12533,37698,29673,19770,26593,20268,92600,36975,16135,17916,15672,14193,21322,20262,28575,695597,7106,16169,11072,9880,8359,16784,7615,53547,4497,2340,16276,14310,3185,5753,925288,114420,10603
10,Control,cold,10.3,17512431,20408559,13820858,13110983,20701775,7330171,9979694,3163767,11011783,2361742,12153278,2509542,2232159,5747957,7695564,1623674,3216670,1246958,1087597,11590519,588120,4393707,2457974,804555,526613,1855056,4431925,308498,2359127,1571635,2150765,1479403,375990,3216670,1549712,2081997,1414010,2310068,269505,2303168,938547,1574020,1582098,391883,1032525,2053988,627432,322098,1102572,612937,1266026,304529,2308078,148823,625133,186913,903174,264844,2248052,101229,623535,991870,984183,300070,865791,170710,624868,870584,394601,441071,623535,284898,139597,293774,279019,127750,124971,479516,118872,435959,161320,513033,6074200,128802,618968,82142,466029,107173,226511,654967,128600,220665,117174,234961,79936,77923,630100,322885,186868,102585,75445,95153,553289,341059,190509,140715,284919,54995,373826,63387,349789,13781,219025,431270,183823,252453,61943,270290,47852,161547,75732,136965,40935,42500,291425,79497,173648,71295,32706,36175,53468,40758,84860,322885,37853,147892,125997,63901,30521,38480,135856,174720,142472,34875,18600,17887,23421,19884,167593,19778,33935,139983,30557,28712,96951,28431,50287,21835,16521,72241,90807,11040,24261,153063,22966,10004,30315,15673,15737,90719,17319,11169,41782,147892,63797,64363,349704,14322,104485,25125,10732,90719,85396,16770,9675,11739,7704,23713,40750,12839,14279,106697,10343,70603,4265,14770,23583,29228,29664,38340,11327,94538,53636,11000,14736,13684,9051,16323,18869,46501,314377,6268,11846,7014,6986,5791,12741,5021,38338,3933,1908,15369,15290,2230,5823,739705,104031,11611
