log2(FC),log10(p),sig_FDR,diffexpressed,delabel,label,FC,p_val
0.2772706596556423,0.2638,FALSE,NO,NA,not,1.2119,1.8357
0.26423615104354714,0.2596,FALSE,NO,NA,not,1.201,1.818
1.4559124001103643,0.7358,FALSE,NO,NA,not,2.7433,5.4425
1.4827450453825728,0.994,FALSE,NO,NA,not,2.7948,9.8628
1.1452209370856297,0.7495,FALSE,NO,NA,not,2.2118,5.6169
0.3284918303048477,0.2011,FALSE,NO,NA,not,1.2557,1.5889
0.4028313024491429,0.2104,FALSE,NO,NA,not,1.3221,1.6233
-0.2926519125167302,0.5817,FALSE,NO,NA,not,0.8164,3.8168
-1.1414619336634642,1.8813,FALSE,NO,NA,not,0.4533,76.0852
-1.0144995696951151,0.7014,FALSE,NO,NA,not,0.495,5.0281
-0.7861239566170576,0.685,FALSE,NO,NA,not,0.5799,4.8417
-2.029735320985471,1.7736,FALSE,NO,NA,not,0.2449,59.3745
-1.1121628289132588,1.8044,FALSE,NO,NA,not,0.4626,63.7382
-1.9208437933823566,0.948,FALSE,NO,NA,not,0.2641,8.8716
-1.3356992146599629,0.6166,FALSE,NO,NA,not,0.3962,4.1362
-1.317246938769454,1.14,FALSE,NO,NA,not,0.4013,13.8038
-1.1121628289132588,1.9551,FALSE,NO,NA,not,0.4626,90.1779
-1.0112971376567712,0.7025,FALSE,NO,NA,not,0.4961,5.0408
0.7369944477784889,1.254,FALSE,NO,NA,not,1.6667,17.9473
-2.0800879113226918,1.0246,FALSE,NO,NA,not,0.2365,10.5828
-1.5734668618833267,0.7172,FALSE,NO,NA,not,0.336,5.2143
0.5392332708660356,0.6277,FALSE,NO,NA,not,1.4532,4.2433
-0.04796469599252799,0.0654,FALSE,NO,NA,not,0.9673,1.1625
0.4844990821225157,0.5604,FALSE,NO,NA,not,1.3991,3.6341
3.9813320934531697,1.3374,FALSE,NO,NA,not,15.7943,21.747
0.831958289198261,0.9528,FALSE,NO,NA,not,1.7801,8.9702
-0.7300093655116824,0.726,FALSE,NO,NA,not,0.6029,5.3211
-1.2419527181667664,0.7305,FALSE,NO,NA,not,0.4228,5.3765
-1.0043345902638912,0.8808,FALSE,NO,NA,not,0.4985,7.5998
-1.1772290697332235,1.0775,FALSE,NO,NA,not,0.4422,11.9536
-2.3018704425461087,0.9294,FALSE,NO,NA,not,0.2028,8.4996
-0.1890222828758559,0.1323,FALSE,NO,NA,not,0.8772,1.3561
-0.1898448469216803,0.1329,FALSE,NO,NA,not,0.8767,1.358
-2.2632652555088026,0.9462,FALSE,NO,NA,not,0.2083,8.8349
-1.1370130908049096,1.1838,FALSE,NO,NA,not,0.4547,15.2686
0.4749810882049781,0.2684,FALSE,NO,NA,not,1.3899,1.8552
-0.7898605425983315,0.7981,FALSE,NO,NA,not,0.5784,6.282
-0.9351171484151456,0.7592,FALSE,NO,NA,not,0.523,5.7438
-0.8041484914243556,0.7623,FALSE,NO,NA,not,0.5727,5.785
0.36591645385806115,0.3327,FALSE,NO,NA,not,1.2887,2.1513
-0.04751732556952441,0.0258,FALSE,NO,NA,not,0.9676,1.0612
-0.9559556672939787,0.5726,FALSE,NO,NA,not,0.5155,3.7377
-0.6020875398230945,0.5388,FALSE,NO,NA,not,0.6588,3.4578
1.9388127075366919,1.384,FALSE,NO,NA,not,3.8339,24.2103
1.3163195505028176,1.1048,FALSE,NO,NA,not,2.4903,12.7292
-0.5818640360405035,0.4743,FALSE,NO,NA,not,0.6681,2.9806
1.0829750272577683,0.9621,FALSE,NO,NA,not,2.1184,9.1643
-0.48580197665241925,0.3794,FALSE,NO,NA,not,0.7141,2.3955
0.9264549345440801,0.9683,FALSE,NO,NA,not,1.9006,9.2961
1.859015384799414,1.3145,FALSE,NO,NA,not,3.6276,20.63
0.2950176651512979,0.5194,FALSE,NO,NA,not,1.2269,3.3067
-1.8293057663129169,1.2826,FALSE,NO,NA,not,0.2814,19.169
-1.9702997657845802,3.2203,TRUE,DOWN,NA,sig,0.2552,1660.7337
-0.9137597241792559,1.6541,FALSE,NO,NA,not,0.5308,45.0921
-0.6771488756244091,1.6753,FALSE,NO,NA,not,0.6254,47.3478
-0.6290545874233641,1.22,FALSE,NO,NA,not,0.6466,16.5959
-0.5589415300067861,2.146,FALSE,NO,NA,not,0.6788,139.9587
-0.9985580258260937,2.442,TRUE,DOWN,NA,sig,0.5005,276.6942
-0.5428785420499038,1.8702,FALSE,NO,NA,not,0.6864,74.1652
-1.701341684435485,1.4736,FALSE,NO,NA,not,0.3075,29.7577
-0.3566055465201077,1.7318,FALSE,NO,NA,not,0.781,53.9262
-0.08375267630998683,0.2053,FALSE,NO,NA,not,0.9436,1.6044
-1.6407037411078027,3.0209,TRUE,DOWN,NA,sig,0.3207,1049.3008
-1.1769028526507959,2.3869,TRUE,DOWN,NA,sig,0.4423,243.725
-0.5133371067473864,1.865,FALSE,NO,NA,not,0.7006,73.2825
0.18878069779214163,0.3469,FALSE,NO,NA,not,1.1398,2.2228
-1.0031774255410242,2.6693,TRUE,DOWN,NA,sig,0.4989,466.9818
-1.0622036593134483,0.9647,FALSE,NO,NA,not,0.4789,9.2193
-0.7846320277965205,2.858,TRUE,DOWN,EtherPE 18:1e_20:4,sig,0.5805,721.1075
-0.781404798449143,1.9459,FALSE,NO,NA,not,0.5818,88.2877
-1.6994662275046322,3.2587,TRUE,DOWN,NA,sig,0.3079,1814.262
-0.8879004202237649,1.8678,FALSE,NO,NA,not,0.5404,73.7564
0.1644001350244117,0.3765,FALSE,NO,NA,not,1.1207,2.3796
-0.24127043154213734,1.1035,FALSE,NO,NA,not,0.846,12.6911
0.26447638000770035,0.6498,FALSE,NO,NA,not,1.2012,4.4648
-0.6239319288663144,0.5983,FALSE,NO,NA,not,0.6489,3.9655
-0.21910202277017285,0.1613,FALSE,NO,NA,not,0.8591,1.4498
-1.3654996617640012,0.4431,FALSE,NO,NA,not,0.3881,2.774
-2.105938940740642,0.4864,FALSE,NO,NA,not,0.2323,3.0648
-1.8852332073344857,0.5962,FALSE,NO,NA,not,0.2707,3.9464
-0.6492764655589778,0.6078,FALSE,NO,NA,not,0.6376,4.0532
-1.9110443176917815,0.405,FALSE,NO,NA,not,0.2659,2.541
-0.38288962525523973,0.3698,FALSE,NO,NA,not,0.7669,2.3431
-0.2889456781879336,0.1871,FALSE,NO,NA,not,0.8185,1.5385
-1.2983178797047168,0.7703,FALSE,NO,NA,not,0.4066,5.8925
-0.600993013527603,0.8189,FALSE,NO,NA,not,0.6593,6.5902
-0.1666645908625292,0.175,FALSE,NO,NA,not,0.8909,1.4962
