log2(FC),log10(p),sig_FDR,diffexpressed,delabel,label,FC,p_val
-0.703219582573575,1.1351,FALSE,NO,NA,not,0.6142,13.649
0.44636211187859465,0.902,FALSE,NO,NA,not,1.3626,7.9799
1.2633950345173086,1.8348,TRUE,UP,NA,sig,2.4006,68.3597
1.0818849667292274,1.1588,FALSE,NO,NA,not,2.1168,14.4145
1.7632840847392242,1.8611,TRUE,UP,NA,sig,3.3947,72.6273
0.9016489109163471,1.0219,FALSE,NO,NA,not,1.8682,10.5172
1.259724435573914,1.1605,FALSE,NO,NA,not,2.3945,14.471
0.6634812533100465,1.0875,FALSE,NO,NA,not,1.5839,12.2321
-0.6091122404499907,1.2369,FALSE,NO,NA,not,0.6556,17.2544
-0.6321816563938067,1.6171,FALSE,NO,NA,not,0.6452,41.4095
-0.5324074912870508,1.0382,FALSE,NO,NA,not,0.6914,10.9194
-0.4210129966674203,0.7232,FALSE,NO,NA,not,0.7469,5.2869
-0.601211852366231,1.2888,FALSE,NO,NA,not,0.6592,19.4446
-2.411963028129394,2.1457,TRUE,DOWN,NA,sig,0.1879,139.8621
-1.8416629728328993,1.8779,TRUE,DOWN,NA,sig,0.279,75.4918
-1.0874267743251518,1.511,FALSE,NO,NA,not,0.4706,32.434
-0.5907448533151622,1.243,FALSE,NO,NA,not,0.664,17.4985
-0.6290545874233641,1.615,FALSE,NO,NA,not,0.6466,41.2098
-0.0661252582846443,0.1182,FALSE,NO,NA,not,0.9552,1.3128
-1.1468826087764485,1.9528,TRUE,DOWN,NA,sig,0.4516,89.7016
-0.4307033544383554,0.8303,FALSE,NO,NA,not,0.7419,6.7655
0.6164518031929267,0.913,FALSE,NO,NA,not,1.5331,8.1846
0.10849100259224341,0.1116,FALSE,NO,NA,not,1.0781,1.293
0.5907217700098412,0.9043,FALSE,NO,NA,not,1.506,8.0223
1.6905958847684837,2.3492,TRUE,UP,NA,sig,3.2279,223.4601
0.09315448790708296,0.1228,FALSE,NO,NA,not,1.0667,1.3268
-0.7157227819448722,1.6029,FALSE,NO,NA,not,0.6089,40.0774
-0.23684341625871316,0.2972,FALSE,NO,NA,not,0.8486,1.9824
-0.38722289471480076,0.8447,FALSE,NO,NA,not,0.7646,6.9936
-0.8674889602008046,2.3689,TRUE,DOWN,NA,sig,0.5481,233.8299
-0.7577938514291251,1.2397,FALSE,NO,NA,not,0.5914,17.366
-0.05334398979308492,0.0798,FALSE,NO,NA,not,0.9637,1.2017
-0.054242492027372385,0.0815,FALSE,NO,NA,not,0.9631,1.2064
-0.7602353734890532,1.4005,FALSE,NO,NA,not,0.5904,25.1478
0.27285929168710965,0.3035,FALSE,NO,NA,not,1.2082,2.0114
-0.117161344232749,0.1319,FALSE,NO,NA,not,0.922,1.3549
-0.6964238003033594,1.1759,FALSE,NO,NA,not,0.6171,14.9934
-0.3106113727783402,0.5876,FALSE,NO,NA,not,0.8063,3.869
-0.6219323512199659,0.7161,FALSE,NO,NA,not,0.6498,5.2012
0.2347465517443222,0.5012,FALSE,NO,NA,not,1.1767,3.171
-0.38270151715915357,0.357,FALSE,NO,NA,not,0.767,2.2751
-0.9080632617894149,0.7283,FALSE,NO,NA,not,0.5329,5.3493
-0.7143018740418748,0.8127,FALSE,NO,NA,not,0.6095,6.4968
0.8686867653221351,1.9197,TRUE,UP,NA,sig,1.826,83.1189
-0.16391428829759438,0.1632,FALSE,NO,NA,not,0.8926,1.4561
-1.2477652193803555,1.2586,FALSE,NO,NA,not,0.4211,18.1384
-0.37034030007260826,0.5729,FALSE,NO,NA,not,0.7736,3.7402
-0.6854774782083852,1.4053,FALSE,NO,NA,not,0.6218,25.4273
0.3338816594680902,0.5406,FALSE,NO,NA,not,1.2604,3.4722
0.21263158972095403,0.2144,FALSE,NO,NA,not,1.1588,1.6383
0.3916577542529145,1.0891,FALSE,NO,NA,not,1.3119,12.2772
-0.5631985264294997,1.5796,FALSE,NO,NA,not,0.6768,37.9839
-0.6257116608309687,1.9337,TRUE,DOWN,NA,sig,0.6481,85.842
-0.44202632357238514,0.575,FALSE,NO,NA,not,0.7361,3.7584
-0.06446481913198182,0.157,FALSE,NO,NA,not,0.9563,1.4355
-0.055291452373372865,0.1346,FALSE,NO,NA,not,0.9624,1.3633
0.09572192227332565,0.1425,FALSE,NO,NA,not,1.0686,1.3884
-0.25842515258120435,0.5699,FALSE,NO,NA,not,0.836,3.7145
-0.1634294845828482,0.4039,FALSE,NO,NA,not,0.8929,2.5345
